Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2014,STL,NL,2,0,1,0,0,.---,0,0,0,11,5.500,1.000,.000,.---,.000,0,0
2015,STL,NL,173,73,55,0,1,.333,17,1,20,677,3.913,.237,.029,.463,.209,1,0
2016,STL,NL,183,70,57,1,0,.342,16,3,15,766,4.186,.388,.049,.282,.214,0,0
2017,STL,NL,530,231,182,2,3,.368,47,18,88,2120,4.000,.221,.043,.607,.214,6,1
2018,STL,NL,396,140,132,0,1,.303,25,12,52,1553,3.922,.245,.035,.433,.151,3,0
2018,TB,AL,174,89,75,0,2,.442,20,6,18,693,3.983,.247,.040,.581,.280,0,0
2018,2 Teams,,570,229,207,0,3,.342,45,18,70,2246,3.940,.246,.037,.479,.188,3,0
2019,TB,AL,654,255,237,0,1,.316,56,22,97,2604,3.982,.188,.032,.659,.176,10,1
2020,SD,NL,125,34,45,0,0,.253,5,2,18,498,3.984,.216,.024,.556,.101,0,0
2021,SD,NL,561,182,202,0,4,.280,41,10,61,2374,4.232,.228,.027,.609,.154,5,0
2022,CIN,NL,387,127,139,0,4,.300,23,13,53,1566,4.047,.258,.028,.420,.135,0,0
2022,BOS,AL,235,80,78,0,1,.310,18,7,26,939,3.996,.285,.026,.209,.140,1,1
2022,2 Teams,,622,207,217,0,5,.304,41,20,79,2505,4.027,.268,.027,.335,.137,1,1
9 Seasons,5 Teams,,3420,1281,1203,3,17,.319,268,94,448,13801,4.035,.239,.033,.499,.174,26,3
