,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2014,STL,NL,6,2,2,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
,2015,STL,NL,52,173,153,28,41,7,5,5,18,19,41,2,0,0,.268,.347,.477,.824
,2016,STL,NL,78,183,159,26,36,7,0,9,17,20,71,2,2,3,.226,.324,.440,.764
,2017,STL,NL,128,530,444,95,136,22,2,23,73,71,117,25,7,10,.306,.411,.520,.931
,2018,STL,NL,98,396,351,67,87,11,0,14,41,42,97,10,6,2,.248,.331,.399,.730
,2018,TB,AL,39,174,143,35,49,7,6,7,22,25,43,5,1,4,.343,.448,.622,1.070
,2018,2 Teams,,137,570,494,102,136,18,6,21,63,67,140,15,7,6,.275,.367,.464,.831
,2019,TB,AL,145,654,567,77,155,33,2,21,68,81,123,25,4,5,.273,.369,.450,.819
,2020,SD,NL,31,125,109,13,23,2,0,3,12,15,27,6,0,1,.211,.312,.312,.624
,2021,SD,NL,155,561,475,74,109,24,2,15,49,78,128,14,6,4,.229,.340,.383,.723
,2022,CIN,NL,91,387,340,57,81,11,1,11,39,42,100,7,2,1,.238,.320,.374,.694
,2022,BOS,AL,53,235,214,32,50,12,0,6,24,14,67,1,1,6,.234,.298,.374,.672
,2022,2 Teams,,144,622,554,89,131,23,1,17,63,56,167,8,3,7,.236,.312,.374,.686
,9 Seasons,5 Teams,,876,3420,2957,504,767,136,18,114,363,407,816,97,29,36,.259,.354,.433,.787
