Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,434",57.3,363,315,88,65,11,0,12,74,244,.279,.284,.429,.459,.351,.366,93.4,4,17.4,17.7
2022,Breaking,806,32.2,184,170,26,12,9,1,4,68,103,.153,.160,.288,.272,.222,.225,90.1,17,38.8,24.3
2022,Offspeed,264,10.5,74,68,16,13,2,0,1,25,44,.235,.212,.309,.299,.264,.251,90.1,4,34.8,24.0
2021,Fastballs,"1,453",61.3,367,309,84,56,16,1,11,62,250,.272,.289,.437,.505,.357,.390,91.8,8,16.5,16.3
2021,Breaking,723,30.5,147,125,17,9,5,1,2,51,75,.136,.184,.240,.302,.233,.275,89.3,7,35.7,19.6
2021,Offspeed,196,8.3,44,41,8,3,3,0,2,15,26,.195,.196,.415,.341,.284,.262,85.7,4,34.5,22.1
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
