Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2012,AZ,NL,LF,7,5,48.0,13,13,0,0,0,,1.000
2012,AZ,NL,CF,14,14,124.0,42,42,0,0,0,,1.000
2012,AZ,NL,RF,4,0,8.0,3,3,0,0,0,,1.000
2013,AZ,NL,LF,7,3,38.0,3,3,0,0,0,,1.000
2013,AZ,NL,CF,110,98,915.2,248,238,8,2,1,,.992
2013,AZ,NL,RF,2,1,12.0,5,5,0,0,0,,1.000
2014,AZ,NL,LF,2,1,9.1,0,0,0,0,0,,.000
2014,AZ,NL,CF,68,65,576.0,160,151,8,1,2,,.994
2015,AZ,NL,CF,151,143,1303.2,355,347,5,3,0,,.992
2016,AZ,NL,CF,12,11,86.0,32,31,1,0,0,,1.000
2017,AZ,NL,CF,109,99,873.1,220,213,6,1,2,,.995
2017,AZ,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2018,AZ,NL,CF,109,105,936.0,233,229,3,1,1,,.996
2019,LAD,NL,LF,18,18,145.0,26,25,0,1,0,,.962
2019,LAD,NL,CF,62,58,510.0,95,91,3,1,1,,.989
2019,LAD,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2020,LAD,NL,LF,27,22,198.0,29,28,0,1,0,,.966
2020,LAD,NL,CF,16,15,134.0,32,32,0,0,0,,1.000
2020,LAD,NL,DH,11,10,0.0,0,0,0,0,0,,.000
2021,LAD,NL,LF,103,92,806.0,171,167,4,0,1,,1.000
2021,LAD,NL,CF,8,5,48.0,10,10,0,0,0,,1.000
2022,CWS,AL,LF,107,77,751.2,156,147,6,3,3,,.981
2022,CWS,AL,CF,37,35,277.0,83,80,1,2,0,,.976
2022,CWS,AL,RF,14,11,91.0,20,20,0,0,0,,1.000
11 Seasons,3 Teams,,LF,271,218,1996.0,398,383,10,5,4,,.987
,3 Teams,,CF,696,648,5783.2,1510,1464,35,11,7,,.993
,2 Teams,,RF,20,12,111.0,28,28,0,0,0,,1.000
,2 Teams,,DH,13,12,0.0,0,0,0,0,0,,.000
