Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2016,,ALL,6,,2,3,1,0,4,2,202,75%,72%,3%
2016,,LF,1,,0,0,1,0,1,0,12,92%,82%,10%
2016,,SS,1,,0,0,0,0,1,-1,34,68%,66%,1%
2016,,3B,0,,1,0,-1,0,-1,1,56,70%,70%,-1%
2016,,2B,3,,-1,2,1,0,2,0,69,80%,76%,4%
2016,,1B,2,,0,1,1,0,0,1,31,74%,68%,6%
2017,,ALL,1,,2,1,-2,0,0,1,45,87%,84%,2%
2017,,LF,1,,1,1,0,0,0,1,22,86%,81%,6%
2017,,SS,-1,,0,0,-2,0,0,-1,14,79%,87%,-9%
2017,,3B,1,,0,0,0,0,1,0,6,100%,83%,17%
2017,,2B,0,,0,0,0,0,0,0,2,100%,98%,2%
2017,,1B,0,,0,0,0,0,0,0,1,100%,97%,3%
2018,,ALL,-16,,-8,-4,-3,0,-18,2,481,67%,71%,-3%
2018,,SS,-9,,-4,-3,-2,0,-12,3,240,68%,72%,-4%
2018,,3B,-5,,-4,0,-1,0,-5,-1,166,64%,67%,-3%
2018,,2B,-1,,-1,0,0,0,-1,0,27,70%,73%,-2%
2018,,1B,-1,,1,-2,0,0,-1,0,48,75%,77%,-2%
2019,,ALL,-6,,-2,-2,-2,1,0,-6,415,75%,76%,-1%
2019,,LF,1,,1,0,0,0,0,1,9,89%,81%,8%
2019,,2B,-7,,-3,-3,-2,1,0,-7,405,74%,76%,-2%
2019,,1B,0,,0,0,0,0,0,0,1,100%,77%,23%
2020,,ALL,-1,,0,-1,-1,0,-1,0,118,77%,78%,-1%
2020,,RF,0,,0,0,0,0,0,0,4,100%,95%,5%
2020,,CF,0,,0,0,0,0,0,0,2,100%,99%,1%
2020,,LF,0,,0,1,0,0,-1,1,63,86%,85%,0%
2020,,2B,-2,,0,-2,0,0,0,-1,48,62%,66%,-4%
2020,,1B,0,,0,0,0,0,0,0,1,100%,96%,4%
2021,,ALL,-7,,-3,-1,-4,0,-4,-3,201,81%,84%,-4%
2021,,RF,-4,,-2,-1,-1,0,-3,-1,40,80%,89%,-9%
2021,,CF,-1,,0,-1,-1,0,-1,-1,42,83%,87%,-3%
2021,,LF,-2,,0,-1,-2,0,-1,0,65,82%,84%,-3%
2021,,2B,-2,,-1,0,-1,0,0,-2,30,67%,73%,-7%
2021,,1B,2,,0,1,0,0,1,1,24,92%,85%,7%
2022,,LF,-6,,-1,0,-4,0,-3,-2,289,84%,86%,-2%
Career,,ALL,-29,,-11,-5,-15,1,-23,-5,1751,75%,77%,-2%
