Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Pittsburgh Pirates,MLB,April,0,1,3.32,4,4,0,19.0,78,17,7,7,2,8,17,1.32
Pittsburgh Pirates,MLB,May,1,1,2.00,5,5,0,27.0,112,21,9,6,0,9,21,1.11
Pittsburgh Pirates,MLB,June,0,2,4.80,6,6,0,30.0,131,35,16,16,5,8,29,1.43
Pittsburgh Pirates,MLB,July,2,1,3.67,5,5,0,27.0,111,27,11,11,0,6,22,1.22
St. Louis Cardinals,MLB,August,1,1,3.38,6,6,0,29.1,126,33,15,11,1,12,20,1.53
St. Louis Cardinals,MLB,September,2,1,0.89,5,5,0,30.1,111,20,3,3,0,3,28,0.76
St. Louis Cardinals,MLB,October,0,0,0.00,1,1,0,3.0,10,1,0,0,0,1,0,0.67
Pittsburgh Pirates,MLB,Pre All-Star,2,5,3.99,18,18,0,90.1,386,92,43,40,7,29,81,1.34
Pittsburgh Pirates,MLB,Post All-Star,1,0,0.00,2,2,0,12.2,46,8,0,0,0,2,8,0.79
St. Louis Cardinals,MLB,Post All-Star,3,2,2.01,12,12,0,62.2,247,54,18,14,1,16,48,1.12
