Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
St. Louis Cardinals,MLB,First Inning,,,0.75,12,,,12.0,44,6,1,1,1,3,7,0.75
Pittsburgh Pirates,MLB,First Inning,,,1.80,20,,,20.0,74,13,4,4,2,2,20,0.75
St. Louis Cardinals,MLB,Second Inning,,,2.25,12,,,12.0,46,10,4,3,0,4,6,1.17
Pittsburgh Pirates,MLB,Second Inning,,,3.60,20,,,20.0,87,22,11,8,2,6,18,1.40
St. Louis Cardinals,MLB,Third Inning,,,3.86,12,,,11.2,49,13,6,5,0,4,11,1.46
Pittsburgh Pirates,MLB,Third Inning,,,4.05,20,,,20.0,90,21,9,9,0,10,17,1.55
St. Louis Cardinals,MLB,Fourth Inning,,,0.00,10,,,10.0,38,8,2,0,0,1,6,0.90
Pittsburgh Pirates,MLB,Fourth Inning,,,4.26,20,,,19.0,79,21,9,9,1,4,15,1.32
St. Louis Cardinals,MLB,Fifth Inning,,,0.93,10,,,9.2,38,8,1,1,0,2,10,1.03
Pittsburgh Pirates,MLB,Fifth Inning,,,4.70,18,,,15.1,68,19,8,8,2,5,11,1.57
St. Louis Cardinals,MLB,Sixth Inning,,,7.71,7,,,4.2,23,8,4,4,0,2,6,2.14
Pittsburgh Pirates,MLB,Sixth Inning,,,2.70,9,,,6.2,27,4,2,2,0,3,8,1.05
Pittsburgh Pirates,MLB,Seventh Inning,,,0.00,2,,,2.0,7,0,0,0,0,1,0,0.50
St. Louis Cardinals,MLB,Seventh Inning,,,0.00,2,,,1.2,5,0,0,0,0,0,2,0.00
St. Louis Cardinals,MLB,Eighth Inning,,,0.00,1,,,1.0,4,1,0,0,0,0,0,1.00
