Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2006,VSL Mets,VSL,ROK,P,3,0,5.1,0,0,0,0,0,,.000
2008,DSL Yankees2,DSL,ROK,P,15,12,55.0,11,0,10,1,1,,.909
2009,DSL Yankees2,DSL,ROK,P,14,14,50.1,11,0,9,2,0,,.818
2010,2 Teams,,Minors,P,20,3,38.2,7,2,5,0,0,,1.000
2010,2 Teams,,Minors,P,20,3,38.2,7,2,5,0,0,,1.000
2010,2 Teams,,Minors,P,20,3,38.2,7,2,5,0,0,,1.000
2010,GCL Yankees,GCL,ROK,P,15,0,23.1,4,2,2,0,0,,1.000
2010,Charleston RiverDogs,SAL,A(Full),P,5,3,15.1,3,0,3,0,0,,1.000
2011,Tampa Yankees,FSL,A(Adv),P,30,12,102.0,18,2,15,1,0,,.944
2012,Birmingham Barons,SOU,AA,P,9,9,48.2,7,3,4,0,0,,1.000
,3 Teams,,ROK,P,47,26,134.0,26,2,21,3,1,,.885
,Birmingham Barons,SOU,AA,P,9,9,48.2,7,3,4,0,0,,1.000
,Tampa Tarpons,FSL,A+,P,30,12,102.0,18,2,15,1,0,,.944
,Charleston RiverDogs,CAR,A,P,5,3,15.1,3,0,3,0,0,,1.000
,6 Teams,,Minors,P,91,50,300.0,54,7,43,4,1,,.926
,6 Teams,,Minors,P,91,50,300.0,54,7,43,4,1,,.926
Career Minors,6 Teams,,,P,91,50,300.0,54,7,43,4,1,,.926
