Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,1.3,12,958,34.9,225,.273,.515,.376,12.3,12.4,10.5,.237,.399,.321,36.5
2022,Changeup,,1.2,6,488,17.8,129,.264,.479,.329,19.5,10.9,9.7,.284,.430,.330,43.1
2022,Slider,,0.7,4,484,17.7,113,.255,.500,.338,21.3,18.6,13.2,.241,.412,.323,38.6
2022,Curveball,,2.8,8,292,10.6,60,.407,.574,.453,11.1,8.3,7.1,.283,.346,.318,24.5
2022,Sinker,,0.1,0,287,10.5,82,.275,.537,.353,9.2,7.3,9.4,.267,.452,.309,42.7
2022,Cutter,,0.7,1,144,5.3,33,.258,.613,.380,7.0,9.1,8.3,.259,.477,.338,32.1
2022,Splitter,,2.5,2,89,3.2,23,.263,.368,.348,27.9,21.7,13.9,.193,.215,.273,7.1
2021,4-Seamer,,1.8,16,867,32.4,207,.291,.670,.439,8.8,11.1,8.7,.308,.653,.440,48.7
2021,Changeup,,2.2,13,588,22.0,122,.279,.495,.379,21.0,10.7,8.1,.283,.443,.342,34.3
2021,Slider,,0.4,2,405,15.1,103,.222,.433,.332,23.7,30.1,17.2,.197,.311,.279,40.0
2021,Sinker,,-0.1,0,334,12.5,93,.233,.419,.318,5.8,5.4,7.8,.340,.517,.392,48.1
2021,Curveball,,2.0,5,241,9.0,37,.344,.625,.431,18.8,10.8,6.1,.352,.527,.406,31.0
2021,Cutter,,0.8,1,176,6.6,48,.268,.537,.400,18.8,14.6,15.2,.220,.481,.352,35.3
2021,Splitter,,0.6,0,61,2.3,15,.167,.417,.333,20.0,26.7,21.1,.176,.434,.344,50.0
2020,4-Seamer,,1.3,5,358,31.2,93,.253,.627,.426,16.2,17.2,13.4,.238,.559,.393,45.0
2020,Slider,,1.4,3,209,18.2,44,.237,.474,.374,18.8,25.0,13.8,.206,.371,.305,40.7
2020,Changeup,,1.4,3,194,16.9,41,.308,.538,.377,23.7,14.6,13.0,.297,.392,.319,21.2
2020,Sinker,,4.7,8,168,14.7,35,.387,.935,.617,13.0,14.3,17.2,.347,.819,.508,50.0
2020,Curveball,,3.3,4,134,11.7,21,.333,.444,.390,7.9,14.3,7.7,.225,.315,.300,6.7
2020,Cutter,,-1.2,-1,52,4.5,10,.375,.500,.445,6.3,0.0,0.0,.377,.475,.435,37.5
2020,Splitter,,0.3,0,31,2.7,10,.300,.600,.380,22.2,20.0,16.7,.270,.498,.322,12.5
2019,4-Seamer,,0.4,3,716,32.9,193,.216,.509,.356,10.0,9.8,9.9,.231,.466,.333,32.2
2019,Changeup,,-0.3,-1,365,16.8,86,.220,.317,.277,22.2,11.6,11.1,.249,.332,.270,28.8
2019,Sinker,,1.7,6,358,16.5,104,.344,.600,.437,8.4,7.7,10.4,.368,.682,.464,54.8
2019,Slider,,0.2,0,318,14.6,65,.286,.482,.368,16.7,23.1,12.0,.272,.385,.333,26.2
2019,Curveball,,1.1,3,246,11.3,43,.231,.436,.320,20.0,18.6,11.9,.292,.456,.351,41.9
2019,Cutter,,-0.7,-1,121,5.6,31,.286,.536,.318,18.2,19.4,17.1,.259,.433,.310,29.2
2019,Splitter,,2.3,1,36,1.7,14,.308,.385,.382,35.3,35.7,38.5,.148,.171,.228,12.5
2018,4-Seamer,,2.5,23,908,30.2,246,.282,.693,.455,6.3,5.7,5.4,.279,.577,.413,36.6
2018,Sinker,,2.6,15,555,18.5,153,.326,.630,.435,6.9,7.8,9.2,.302,.552,.393,40.0
2018,Slider,,-0.7,-3,483,16.1,86,.147,.294,.295,24.6,25.6,11.9,.209,.331,.324,27.7
2018,Changeup,,1.6,7,441,14.7,87,.286,.442,.370,23.0,13.8,10.4,.260,.356,.326,33.8
2018,Curveball,,1.9,7,372,12.4,56,.229,.375,.338,22.8,23.2,11.8,.164,.237,.248,17.1
2018,Cutter,,3.1,3,113,3.8,24,.300,.600,.431,5.5,8.3,5.9,.319,.518,.416,50.0
2018,Splitter,,-3.1,-2,71,2.4,19,.118,.176,.187,42.9,26.3,22.7,.146,.216,.215,25.0
2017,4-Seamer,,2.2,18,820,31.8,199,.326,.657,.445,6.3,5.0,4.7,.301,.548,.391,38.3
2017,Sinker,,1.8,10,567,22.0,132,.400,.687,.495,10.4,7.6,8.5,.345,.559,.420,44.3
2017,Changeup,,2.1,8,376,14.6,91,.365,.647,.462,22.5,17.6,17.0,.298,.402,.327,27.5
2017,Slider,,-0.9,-3,349,13.5,99,.208,.417,.281,22.7,22.2,17.3,.259,.430,.297,34.7
2017,Curveball,,0.6,2,294,11.4,71,.304,.420,.329,15.8,9.9,8.0,.324,.430,.326,25.4
2017,Cutter,,-1.4,-2,109,4.2,32,.172,.379,.273,11.3,6.3,6.1,.229,.389,.302,18.5
2017,Splitter,,7.5,4,53,2.1,12,.500,1.000,.629,12.5,8.3,7.1,.362,.564,.388,27.3
