Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2014,MIA,NL,30,10,16,0,0,.333,2,2,8,128,4.267,.267,.000,.125,.103,0,0
2015,MIA,NL,467,179,200,1,4,.285,38,11,88,1723,3.690,.150,.021,.271,.147,3,0
2016,MIA,NL,545,218,202,0,3,.357,42,12,73,2142,3.930,.183,.020,.280,.126,4,0
2017,MIA,NL,579,240,255,0,3,.318,53,13,89,2171,3.750,.183,.029,.340,.173,3,2
2018,MIA,NL,531,231,194,0,4,.312,54,9,92,2042,3.846,.196,.040,.365,.208,6,1
2019,PHI,NL,593,265,263,0,8,.309,64,12,97,2332,3.933,.207,.042,.333,.217,8,0
2020,PHI,NL,195,85,119,0,0,.307,17,3,32,742,3.805,.246,.056,.333,.225,1,0
2021,PHI,NL,537,209,195,0,2,.325,46,8,62,2096,3.903,.240,.032,.372,.176,5,2
2022,PHI,NL,562,241,212,0,5,.318,53,7,72,2193,3.902,.212,.039,.345,.202,4,0
9 Seasons,2 Teams,,4039,1678,1656,1,29,.318,369,77,613,15569,3.855,.200,.033,.332,.181,34,5
