,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2014,MIA,NL,11,30,29,4,7,1,1,0,9,1,8,0,0,0,.241,.267,.345,.612
,2015,MIA,NL,126,467,441,49,114,21,7,10,47,19,70,8,4,2,.259,.290,.406,.696
,2016,MIA,NL,137,545,509,60,154,31,0,11,48,28,100,12,4,5,.303,.343,.428,.771
,2017,MIA,NL,141,579,532,68,148,31,5,17,65,36,106,8,2,8,.278,.332,.451,.783
*,2018,MIA,NL,125,531,477,74,132,30,3,21,74,38,104,3,2,10,.277,.340,.484,.824
*,2019,PHI,NL,145,593,538,92,148,36,3,25,83,41,123,9,1,5,.275,.328,.493,.821
,2020,PHI,NL,47,195,173,33,46,6,0,11,32,16,48,4,1,6,.266,.349,.491,.840
*,2021,PHI,NL,134,537,476,64,125,25,4,17,73,48,129,13,3,11,.263,.343,.439,.782
,2022,PHI,NL,139,562,504,75,139,26,5,22,84,41,119,21,1,12,.276,.342,.478,.820
,9 Seasons,2 Teams,,1005,4039,3679,519,1013,207,28,134,515,268,807,78,18,59,.275,.332,.456,.788
