Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2014,MIA,NL,C,9,7,61.1,55,51,3,1,1,,.982
2015,MIA,NL,C,118,116,1025.1,888,836,46,6,6,,.993
2016,MIA,NL,C,129,124,1113.0,1159,1069,80,10,8,,.991
2016,MIA,NL,DH,2,2,0.0,0,0,0,0,0,,.000
2017,MIA,NL,C,126,125,1095.2,1022,929,87,6,11,,.994
2017,MIA,NL,1B,9,8,72.1,83,79,4,0,7,,1.000
2017,MIA,NL,DH,2,2,0.0,0,0,0,0,0,,.000
2018,MIA,NL,C,112,111,951.0,879,826,46,7,6,,.992
2018,MIA,NL,1B,13,8,78.0,82,77,5,0,8,,1.000
2018,MIA,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2019,PHI,NL,C,133,130,1139.1,1174,1098,67,9,14,,.992
2019,PHI,NL,1B,4,2,21.0,19,17,2,0,2,,1.000
2019,PHI,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2020,PHI,NL,C,36,35,291.0,306,296,8,2,3,,.993
2020,PHI,NL,1B,6,2,20.2,16,16,0,0,0,,1.000
2020,PHI,NL,DH,8,8,0.0,0,0,0,0,0,,.000
2021,PHI,NL,C,118,112,973.0,1088,1057,30,1,5,,.999
2021,PHI,NL,1B,16,7,65.0,61,54,6,1,5,,.984
2021,PHI,NL,DH,3,3,0.0,0,0,0,0,0,,.000
2022,PHI,NL,C,133,130,1131.2,1208,1151,49,8,11,,.993
2022,PHI,NL,1B,3,0,6.0,7,6,0,1,0,,.857
2022,PHI,NL,DH,3,2,0.0,0,0,0,0,0,,.000
9 Seasons,2 Teams,,C,914,890,7781.1,7779,7313,416,50,65,,.994
,2 Teams,,1B,51,27,263.0,268,249,17,2,22,,.993
,2 Teams,,DH,20,19,0.0,0,0,0,0,0,,.000
