Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,049",51.8,264,235,71,40,12,1,18,45,193,.302,.277,.591,.536,.410,.385,91.6,17,18.7,17.6
2022,Breaking,729,36.0,198,185,39,23,8,0,8,63,123,.211,.207,.384,.350,.280,.265,88.2,19,36.9,25.5
2022,Offspeed,249,12.3,59,54,11,5,3,0,3,13,42,.204,.188,.426,.318,.291,.245,88.4,14,31.7,17.8
2021,Fastballs,"1,250",57.1,325,288,82,48,21,0,13,57,236,.285,.273,.493,.532,.358,.378,92.2,20,18.6,18.3
2021,Breaking,696,31.8,175,165,41,18,8,0,15,56,110,.248,.251,.570,.501,.355,.335,87.2,13,37.2,22.5
2021,Offspeed,245,11.2,72,68,12,5,4,0,3,17,51,.176,.230,.368,.407,.252,.294,86.7,1,32.3,17.9
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
