Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Los Angeles Angels,MLB,First Inning,78,76,8,24,2,1,5,8,1,13,1,0,1,.316,.333,.566,.899
Los Angeles Angels,MLB,Second Inning,46,45,7,12,3,1,2,4,0,7,1,0,1,.267,.283,.511,.794
Los Angeles Angels,MLB,Third Inning,58,55,9,17,1,1,4,10,3,5,1,0,0,.309,.345,.582,.927
Los Angeles Angels,MLB,Fourth Inning,57,56,2,15,1,1,0,4,1,6,0,1,0,.268,.281,.321,.602
Los Angeles Angels,MLB,Fifth Inning,57,54,5,12,5,0,1,3,3,10,1,0,0,.222,.263,.370,.633
Los Angeles Angels,MLB,Sixth Inning,52,49,4,12,2,0,3,13,2,12,0,1,1,.245,.288,.469,.757
Los Angeles Angels,MLB,Seventh Inning,55,53,7,16,4,0,2,6,2,5,2,0,0,.302,.327,.491,.818
Los Angeles Angels,MLB,Eighth Inning,56,54,0,11,3,0,0,3,1,10,0,0,1,.204,.232,.259,.491
Los Angeles Angels,MLB,Ninth Inning,45,40,2,10,1,0,0,1,4,11,0,0,0,.250,.318,.275,.593
Los Angeles Angels,MLB,Extra Innings,7,7,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
