Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Salt Lake Bees,Triple-A,First Inning,21,20,2,3,1,0,0,0,1,8,0,0,0,.150,.190,.200,.390
Salt Lake Bees,Triple-A,Second Inning,8,8,1,1,0,0,0,0,0,2,0,0,0,.125,.125,.125,.250
Salt Lake Bees,Triple-A,Third Inning,15,14,2,3,0,0,1,2,1,4,0,0,0,.214,.267,.429,.696
Salt Lake Bees,Triple-A,Fourth Inning,8,5,2,2,2,0,0,1,2,1,1,1,0,.400,.500,.800,1.300
Salt Lake Bees,Triple-A,Fifth Inning,17,14,0,5,1,0,0,2,3,1,0,0,0,.357,.471,.429,.900
Salt Lake Bees,Triple-A,Sixth Inning,7,7,2,3,0,1,0,2,0,1,0,1,0,.429,.429,.714,1.143
Salt Lake Bees,Triple-A,Seventh Inning,16,14,6,8,1,1,2,6,2,2,1,0,0,.571,.625,1.214,1.839
Salt Lake Bees,Triple-A,Eighth Inning,5,5,1,2,0,0,0,0,0,2,0,0,0,.400,.400,.400,.800
Salt Lake Bees,Triple-A,Ninth Inning,14,11,3,4,0,0,1,2,3,3,0,0,0,.364,.500,.636,1.136
Salt Lake Bees,Triple-A,Extra Innings,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
