Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2019,LAA,AL,2B,104,90,818.2,392,165,218,9,58,,.977
2019,LAA,AL,SS,12,11,83.0,48,17,28,3,2,,.938
2020,LAA,AL,2B,32,26,237.2,104,40,62,2,11,,.981
2020,LAA,AL,3B,1,0,2.0,3,2,1,0,1,,1.000
2020,LAA,AL,SS,1,0,4.0,2,0,1,1,0,,.500
2021,LAA,AL,2B,4,3,26.0,17,7,9,1,2,,.941
2021,LAA,AL,3B,12,9,83.0,29,2,22,5,4,,.828
2021,LAA,AL,SS,26,25,227.0,106,30,74,2,16,,.981
2021,LAA,AL,LF,1,0,1.0,0,0,0,0,0,,.000
2021,LAA,AL,RF,14,9,87.0,25,24,0,1,0,,.960
2022,LAA,AL,2B,99,77,693.0,357,139,210,8,66,,.978
2022,LAA,AL,3B,39,26,250.2,85,26,54,5,7,,.941
2022,LAA,AL,SS,19,16,99.0,34,11,21,2,3,,.941
2022,LAA,AL,LF,1,0,0.2,0,0,0,0,0,,.000
2022,LAA,AL,RF,5,1,14.1,2,2,0,0,0,,1.000
4 Seasons,LAA,AL,2B,239,196,1775.1,870,351,499,20,137,,.977
,LAA,AL,3B,52,35,335.2,117,30,77,10,12,,.915
,LAA,AL,SS,58,52,413.0,190,58,124,8,21,,.958
,LAA,AL,LF,2,0,1.2,0,0,0,0,0,,.000
,LAA,AL,RF,19,10,101.1,27,26,0,1,0,,.963
