Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2016,2 Teams,,Minors,CF,44,44,364.2,96,92,3,1,0,,.990
2016,2 Teams,,Minors,DH,11,11,0.0,0,0,0,0,0,,.000
2016,2 Teams,,Minors,CF,44,44,364.2,96,92,3,1,0,,.990
2016,2 Teams,,Minors,DH,11,11,0.0,0,0,0,0,0,,.000
2016,2 Teams,,Minors,CF,44,44,364.2,96,92,3,1,0,,.990
2016,2 Teams,,Minors,DH,11,11,0.0,0,0,0,0,0,,.000
2016,Salem-Keizer Volcanoes,NWL,A(Short),CF,33,33,276.2,67,64,2,1,0,,.985
2016,Salem-Keizer Volcanoes,NWL,A(Short),DH,6,6,0.0,0,0,0,0,0,,.000
2016,Augusta GreenJackets,SAL,A(Full),CF,11,11,88.0,29,28,1,0,0,,1.000
2016,Augusta GreenJackets,SAL,A(Full),DH,5,5,0.0,0,0,0,0,0,,.000
2017,San Jose Giants,CAL,A(Adv),LF,19,19,166.0,30,28,2,0,0,,1.000
2017,San Jose Giants,CAL,A(Adv),CF,50,48,435.2,114,108,3,3,1,,.974
2017,San Jose Giants,CAL,A(Adv),RF,42,41,357.0,77,71,5,1,1,,.987
2017,San Jose Giants,CAL,A(Adv),DH,12,12,0.0,0,0,0,0,0,,.000
2018,Altoona Curve,EAS,AA,LF,42,42,360.0,74,70,3,1,0,,.986
2018,Altoona Curve,EAS,AA,CF,43,43,370.1,109,106,2,1,0,,.991
2018,Altoona Curve,EAS,AA,RF,3,3,22.0,7,5,1,1,0,,.857
2019,Indianapolis Indians,INT,AAA,CF,13,13,116.2,25,25,0,0,0,,1.000
,Indianapolis Indians,INT,AAA,CF,13,13,116.2,25,25,0,0,0,,1.000
,Altoona Curve,EAS,AA,LF,42,42,360.0,74,70,3,1,0,,.986
,Altoona Curve,EAS,AA,CF,43,43,370.1,109,106,2,1,0,,.991
,Altoona Curve,EAS,AA,RF,3,3,22.0,7,5,1,1,0,,.857
,San Jose Giants,CAL,A+,LF,19,19,166.0,30,28,2,0,0,,1.000
,San Jose Giants,CAL,A+,CF,50,48,435.2,114,108,3,3,1,,.974
,San Jose Giants,CAL,A+,RF,42,41,357.0,77,71,5,1,1,,.987
,San Jose Giants,CAL,A+,DH,12,12,0.0,0,0,0,0,0,,.000
,Augusta GreenJackets,CAR,A,CF,11,11,88.0,29,28,1,0,0,,1.000
,Augusta GreenJackets,CAR,A,DH,5,5,0.0,0,0,0,0,0,,.000
,Salem-Keizer Volcanoes,NWL,A(Short),CF,33,33,276.2,67,64,2,1,0,,.985
,Salem-Keizer Volcanoes,NWL,A(Short),DH,6,6,0.0,0,0,0,0,0,,.000
,2 Teams,,Minors,LF,61,61,526.0,104,98,5,1,0,,.990
,5 Teams,,Minors,CF,150,148,1287.1,344,331,8,5,1,,.985
,2 Teams,,Minors,RF,45,44,379.0,84,76,6,2,1,,.976
,3 Teams,,Minors,DH,23,23,0.0,0,0,0,0,0,,.000
,2 Teams,,Minors,LF,61,61,526.0,104,98,5,1,0,,.990
,5 Teams,,Minors,CF,150,148,1287.1,344,331,8,5,1,,.985
,2 Teams,,Minors,RF,45,44,379.0,84,76,6,2,1,,.976
,3 Teams,,Minors,DH,23,23,0.0,0,0,0,0,0,,.000
,2 Teams,,Minors,LF,61,61,526.0,104,98,5,1,0,,.990
,5 Teams,,Minors,CF,150,148,1287.1,344,331,8,5,1,,.985
,2 Teams,,Minors,RF,45,44,379.0,84,76,6,2,1,,.976
Career Minors,3 Teams,,,DH,23,23,0.0,0,0,0,0,0,,.000
