Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2019,,ALL,2,,0,1,-1,2,1,1,267,86%,85%,1%
2019,,RF,2,,0,1,0,1,1,1,65,88%,85%,3%
2019,,CF,2,,0,0,1,0,1,0,53,92%,89%,3%
2019,,LF,-1,,0,0,-3,2,-1,0,149,83%,83%,-1%
2020,,ALL,1,,1,1,0,-1,0,1,103,92%,92%,1%
2020,,CF,0,,0,0,0,0,0,0,36,92%,92%,0%
2020,,LF,1,,0,1,0,0,0,1,67,93%,91%,1%
2021,,ALL,11,,3,3,6,0,8,3,394,90%,87%,3%
2021,,CF,11,,3,2,6,0,8,3,357,91%,88%,3%
2021,,LF,0,,0,1,0,0,1,0,37,81%,80%,1%
2022,,ALL,-7,,0,0,-5,-2,1,-8,323,87%,89%,-2%
2022,,CF,-7,,0,0,-5,-2,1,-8,318,87%,89%,-2%
2022,,LF,0,,0,0,0,0,0,0,5,100%,99%,1%
Career,,ALL,7,,4,5,-1,-1,10,-3,1087,88%,88%,1%
