Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2019,,ALL,-2,,1,-2,0,0,0,-2,129,80%,81%,-1%
2019,,RF,0,,0,0,0,0,0,0,2,100%,99%,1%
2019,,LF,0,,1,0,-1,0,1,-2,99,84%,84%,0%
2019,,3B,-1,,1,-2,1,0,-1,0,15,73%,77%,-4%
2019,,1B,-1,,0,0,0,0,0,0,13,54%,60%,-6%
2020,,ALL,-5,,0,-3,-2,-1,-5,-1,225,66%,69%,-2%
2020,,LF,-1,,0,0,0,-1,0,-1,7,86%,96%,-10%
2020,,3B,-5,,0,-3,-2,0,-5,0,212,65%,67%,-2%
2020,,1B,0,,0,0,0,0,0,0,6,83%,80%,3%
2021,,ALL,-3,,1,-3,-1,0,-1,-2,544,74%,75%,-1%
2021,,RF,-1,,-1,0,0,0,-1,0,1,0%,54%,-54%
2021,,3B,-3,,1,-3,-1,0,-2,-2,532,74%,75%,-1%
2021,,1B,1,,0,1,0,0,1,0,11,91%,83%,8%
2022,,ALL,-7,,-6,1,-3,0,-7,0,508,71%,73%,-1%
2022,,3B,-6,,-4,1,-3,0,-6,1,503,71%,73%,-1%
2022,,1B,-2,,-2,0,0,0,-1,-1,5,60%,94%,-34%
Career,,ALL,-18,,-4,-6,-6,-1,-13,-4,1406,72%,74%,-1%
