Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %
2015,"2,751",40.8,67.4,88.3,31.1,68.5,41.4,30.7,45.9,19.2,5.3,78.6
2016,"2,656",44.3,64.0,86.6,29.7,68.0,42.7,26.6,44.9,19.8,5.8,71.9
2017,"2,723",47.5,67.0,87.6,27.9,68.0,43.0,29.7,46.5,18.2,7.1,72.9
2018,"2,444",47.0,68.1,89.3,29.6,68.6,41.6,28.4,47.7,17.0,8.0,73.2
2019,"2,470",43.8,63.6,86.1,32.1,70.8,42.9,21.8,45.7,19.7,6.6,72.0
2020,985,44.6,56.0,89.4,31.7,67.1,41.5,19.2,42.5,19.3,7.2,64.8
2021,"2,230",49.0,64.5,84.4,29.3,67.4,43.2,25.2,46.5,20.8,6.7,69.1
2022,"2,112",47.7,64.1,84.8,29.7,61.5,42.2,23.9,46.1,22.8,7.4,69.9
Player,"18,371",45.5,65.1,86.9,30.1,67.7,42.4,26.4,46.0,19.5,6.7,72.1
MLB,,48.5,66.9,82.0,28.4,58.3,42.6,29.5,47.1,24.7,7.2,76.1
