Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2016,,1B,0,,1,-1,2,-1,-1,1,358,75%,75%,0%
2017,,ALL,7,,2,3,2,1,1,7,342,77%,75%,2%
2017,,2B,0,,0,0,0,0,0,0,1,0%,0%,0%
2017,,1B,7,,2,3,2,1,1,7,341,77%,75%,2%
2018,,1B,5,,3,-1,5,-1,1,4,319,72%,70%,2%
2019,,1B,1,,-2,-1,4,-1,4,-3,300,72%,72%,0%
2020,,1B,3,,2,0,2,-1,-2,5,107,80%,78%,3%
2021,,ALL,6,,2,3,0,0,0,5,285,73%,71%,2%
2021,,ALL,-2,,0,1,-3,0,-1,-1,89,71%,73%,-2%
2021,,ALL,8,,3,2,3,0,1,6,196,74%,70%,4%
2021,,1B,6,,2,3,0,0,0,5,285,73%,71%,2%
2021,,1B,-2,,0,1,-3,0,-1,-1,89,71%,73%,-2%
2021,,1B,8,,3,2,3,0,1,6,196,74%,70%,4%
2022,,1B,-3,,0,-3,-2,1,-1,-2,268,68%,70%,-1%
Career,,ALL,19,,7,-1,13,-1,2,16,1979,73%,73%,1%
