Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,-0.4,-3,683,32.3,159,.252,.388,.331,18.0,14.5,12.6,.297,.488,.379,59.8
2022,Slider,,-0.3,-1,424,20.1,113,.238,.366,.290,35.1,29.2,23.1,.211,.322,.283,36.1
2022,Sinker,,-1.0,-4,405,19.2,117,.221,.327,.301,13.3,10.3,13.5,.262,.366,.321,43.5
2022,Changeup,,2.0,5,259,12.3,85,.293,.476,.364,28.9,23.5,26.7,.247,.357,.275,38.7
2022,Curveball,,0.9,2,179,8.5,59,.339,.429,.361,21.2,13.6,14.3,.298,.414,.329,37.5
2022,Cutter,,1.1,1,131,6.2,36,.273,.606,.419,20.0,8.3,11.5,.272,.529,.372,50.0
2022,Splitter,,5.9,1,25,1.2,10,.400,.400,.360,31.3,20.0,18.2,.247,.284,.232,37.5
2022,N/A,,14.9,1,6,0.3,2,1.000,1.500,1.075,0.0,0.0,0.0,.737,.960,.744,100.0
2021,4-Seamer,,1.3,6,465,30.7,121,.370,.602,.445,20.6,16.5,15.5,.264,.469,.347,48.3
2021,Slider,,0.0,0,318,21.0,96,.275,.505,.342,34.3,25.0,22.0,.227,.393,.285,35.3
2021,Sinker,,-1.3,-4,284,18.8,74,.254,.352,.286,19.1,20.3,24.6,.252,.366,.285,37.5
2021,Curveball,,5.2,8,150,9.9,41,.297,.730,.451,19.7,26.8,22.9,.274,.584,.390,38.5
2021,Changeup,,-3.6,-5,147,9.7,49,.167,.208,.194,19.8,20.4,17.2,.249,.299,.250,31.6
2021,Cutter,,-1.5,-2,138,9.1,29,.250,.286,.253,17.1,6.9,5.9,.267,.386,.296,50.0
2021,Splitter,,9.1,1,11,0.7,5,.250,.250,.320,40.0,40.0,25.0,.265,.290,.336,0.0
2020,Slider,,-10.4,-3,27,32.9,9,.000,.000,.000,41.2,33.3,27.3,.068,.075,.065,0.0
2020,4-Seamer,,-2.8,-1,20,24.4,7,.143,.286,.179,20.0,28.6,20.0,.227,.237,.207,20.0
2020,Curveball,,14.0,2,11,13.4,3,.333,.333,.300,60.0,33.3,25.0,.177,.190,.163,50.0
2020,Changeup,,-7.7,-1,9,11.0,1,.000,.000,.000,0.0,0.0,0.0,.000,.000,.000,0.0
2020,Sinker,,-3.0,0,9,11.0,1,.000,.000,.000,0.0,0.0,0.0,.089,.089,.093,100.0
2020,Cutter,,-2.5,0,6,7.3,,--,--,--,40.0,--,0.0,--,--,--,--
2019,4-Seamer,,0.6,1,102,34.7,25,.250,.292,.330,18.2,20.0,21.7,.212,.345,.250,36.8
2019,Slider,,1.0,1,62,21.1,22,.273,.318,.261,35.3,36.4,32.0,.192,.276,.198,35.7
2019,Sinker,,-2.3,-1,50,17.0,15,.308,.308,.333,22.6,20.0,30.0,.202,.241,.263,40.0
2019,Curveball,,-6.7,-2,32,10.9,11,.100,.100,.145,46.2,63.6,41.2,.032,.036,.091,0.0
2019,Changeup,,-4.9,-2,31,10.5,6,.000,.000,.117,50.0,33.3,22.2,.075,.084,.176,0.0
2019,Cutter,,0.2,0,9,3.1,,--,--,--,25.0,--,0.0,--,--,--,--
2019,Splitter,,-3.7,0,8,2.7,2,.000,.000,.000,83.3,100.0,66.7,--,--,.000,--
