Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Seattle Mariners,MLB,First Inning,97,87,27,37,6,1,8,13,9,19,4,2,1,.425,.485,.793,1.278
Seattle Mariners,MLB,Second Inning,50,48,2,13,1,0,1,3,1,13,2,1,0,.271,.280,.354,.634
Seattle Mariners,MLB,Third Inning,68,63,9,17,3,0,5,10,4,15,4,1,1,.270,.324,.556,.880
Seattle Mariners,MLB,Fourth Inning,63,53,9,11,3,0,3,12,9,13,3,0,1,.208,.333,.434,.767
Seattle Mariners,MLB,Fifth Inning,57,54,6,12,1,1,1,5,2,19,2,1,1,.222,.263,.333,.596
Seattle Mariners,MLB,Sixth Inning,62,59,9,12,2,1,2,5,2,15,0,1,1,.203,.242,.373,.615
Seattle Mariners,MLB,Seventh Inning,62,58,8,16,6,0,2,12,4,23,5,1,0,.276,.323,.483,.806
Seattle Mariners,MLB,Eighth Inning,52,44,5,10,1,0,2,8,6,17,1,0,2,.227,.346,.386,.732
Seattle Mariners,MLB,Ninth Inning,44,42,9,15,2,0,4,7,1,10,3,0,1,.357,.386,.690,1.076
Seattle Mariners,MLB,Extra Innings,5,3,0,2,0,0,0,0,2,1,1,0,0,.667,.800,.667,1.467
