Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Arkansas Travelers,Double-A,First Inning,46,38,7,13,2,0,1,2,7,5,7,2,1,.342,.457,.474,.931
Everett AquaSox,High-A,First Inning,28,22,4,5,2,0,1,2,4,6,1,0,2,.227,.393,.455,.848
Arkansas Travelers,Double-A,Second Inning,10,10,3,6,0,0,1,8,0,1,1,0,0,.600,.600,.900,1.500
Everett AquaSox,High-A,Second Inning,9,9,2,3,0,1,1,5,0,2,0,0,0,.333,.333,.889,1.222
Arkansas Travelers,Double-A,Third Inning,27,23,2,6,1,0,2,2,4,5,1,1,0,.261,.370,.565,.935
Everett AquaSox,High-A,Third Inning,14,12,2,2,0,0,0,1,2,3,1,0,0,.167,.286,.167,.453
Arkansas Travelers,Double-A,Fourth Inning,21,17,4,7,2,0,0,2,3,4,1,0,1,.412,.524,.529,1.053
Everett AquaSox,High-A,Fourth Inning,16,16,6,7,2,0,1,2,0,5,1,0,0,.438,.438,.750,1.188
Arkansas Travelers,Double-A,Fifth Inning,25,22,3,9,2,0,0,3,3,3,1,1,0,.409,.480,.500,.980
Everett AquaSox,High-A,Fifth Inning,13,8,5,4,2,0,2,4,4,1,0,0,1,.500,.692,1.500,2.192
Arkansas Travelers,Double-A,Sixth Inning,21,16,4,6,1,0,0,2,4,3,2,0,1,.375,.524,.438,.962
Everett AquaSox,High-A,Sixth Inning,16,15,3,6,0,1,0,3,1,4,0,0,0,.400,.438,.533,.971
Arkansas Travelers,Double-A,Seventh Inning,22,21,8,11,1,0,3,7,1,4,1,0,0,.524,.545,1.000,1.545
Everett AquaSox,High-A,Seventh Inning,15,15,2,5,2,0,0,1,0,2,0,0,0,.333,.333,.467,.800
Arkansas Travelers,Double-A,Eighth Inning,18,13,1,1,0,0,0,0,5,5,2,0,0,.077,.333,.077,.410
Everett AquaSox,High-A,Eighth Inning,11,9,2,2,0,0,1,1,2,3,1,1,0,.222,.364,.556,.920
Arkansas Travelers,Double-A,Ninth Inning,15,13,3,4,2,0,0,0,2,6,0,0,0,.308,.400,.462,.862
Everett AquaSox,High-A,Ninth Inning,10,9,1,3,0,0,0,1,1,3,0,0,0,.333,.400,.333,.733
Arkansas Travelers,Double-A,Extra Innings,1,1,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Everett AquaSox,High-A,Extra Innings,2,2,2,1,0,0,0,1,0,0,1,0,0,.500,.500,.500,1.000
