Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2019,AZ,NL,2B,1,0,2.0,1,1,0,0,0,,1.000
2019,AZ,NL,LF,33,30,276.1,54,53,1,0,1,,1.000
2019,AZ,NL,RF,6,5,48.2,10,9,1,0,0,,1.000
2020,AZ,NL,2B,8,8,66.0,27,9,18,0,2,,1.000
2020,AZ,NL,SS,2,2,18.0,4,2,2,0,1,,1.000
2020,AZ,NL,LF,1,1,9.0,1,1,0,0,0,,1.000
2020,AZ,NL,DH,5,5,0.0,0,0,0,0,0,,.000
2021,AZ,NL,2B,55,37,356.0,168,71,93,4,18,,.976
2021,AZ,NL,3B,14,7,66.0,21,4,15,2,4,,.905
2021,AZ,NL,SS,42,33,283.0,115,34,74,7,13,,.939
2021,AZ,NL,LF,18,12,91.2,22,21,1,0,0,,1.000
2021,AZ,NL,RF,37,27,247.2,55,53,0,2,0,,.964
2022,AZ,NL,2B,26,26,229.2,108,49,56,3,13,,.972
2022,AZ,NL,3B,89,84,740.2,240,68,159,13,17,,.946
2022,AZ,NL,DH,5,4,0.0,0,0,0,0,0,,.000
4 Seasons,AZ,NL,2B,90,71,653.2,304,130,167,7,33,,.977
,AZ,NL,3B,103,91,806.2,261,72,174,15,21,,.943
,AZ,NL,SS,44,35,301.0,119,36,76,7,14,,.941
,AZ,NL,LF,52,43,377.0,77,75,2,0,1,,1.000
,AZ,NL,RF,43,32,296.1,65,62,1,2,0,,.969
,AZ,NL,DH,10,9,0.0,0,0,0,0,0,,.000
