Season,Team,Pos,PA,Depth (ft.),Angle
2016,MIA,4,680,149,14
2016,MIA,5,170,110,-32
2016,MIA,6,893,145,-13
2016,MIA,3,434,110,37
2017,MIA,4,62,151,11
2017,MIA,5,182,113,-25
2017,MIA,3,13,112,36
2017,MIA,6,2676,147,-12
2018,MIA,3,460,110,36
2018,MIA,6,2808,147,-11
2018,MIA,4,298,148,14
2018,MIA,5,1183,108,-29
2019,MIA,3,65,108,35
2019,MIA,4,34,149,11
2019,MIA,6,4506,147,-11
2020,MIA,6,1364,147,-11
2020,MIA,5,12,116,-26
2020,MIA,3,7,100,31
2021,MIA,6,4508,147,-11
2022,MIA,6,4716,148,-9
2022,MIA,3,109,105,35
