Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,466",56.1,358,310,73,39,16,0,18,67,244,.235,.249,.461,.471,.348,.358,91.5,24,19.9,15.1
2022,Breaking,643,24.6,164,150,36,26,4,0,6,41,111,.240,.241,.387,.411,.298,.316,87.0,19,25.6,18.3
2022,Offspeed,506,19.3,124,114,29,16,4,0,9,14,102,.254,.301,.526,.548,.350,.381,89.8,18,20.3,8.9
2021,Fastballs,"1,060",58.5,266,247,69,38,17,0,14,66,185,.279,.285,.518,.491,.350,.349,93.3,18,23.5,19.9
2021,Breaking,392,21.6,81,76,10,5,2,0,3,22,55,.132,.227,.276,.370,.197,.277,84.6,19,27.7,14.2
2021,Offspeed,360,19.9,91,83,19,13,5,0,1,13,70,.229,.260,.325,.383,.277,.313,87.9,17,27.0,10.8
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
