Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Toledo Mud Hens,Triple-A,First Inning,2,2,0,1,0,0,0,0,0,0,0,0,0,.500,.500,.500,1.000
West Michigan Whitecaps,High-A,First Inning,2,1,1,1,0,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000
Toledo Mud Hens,Triple-A,Second Inning,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
West Michigan Whitecaps,High-A,Second Inning,1,1,0,1,1,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000
West Michigan Whitecaps,High-A,Third Inning,3,2,1,1,0,0,0,0,1,0,0,0,0,.500,.667,.500,1.167
Toledo Mud Hens,Triple-A,Fourth Inning,3,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
West Michigan Whitecaps,High-A,Fourth Inning,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
West Michigan Whitecaps,High-A,Fifth Inning,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Toledo Mud Hens,Triple-A,Sixth Inning,2,1,0,0,0,0,0,0,1,0,0,0,0,.000,.500,.000,.500
Toledo Mud Hens,Triple-A,Seventh Inning,1,1,0,1,1,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000
West Michigan Whitecaps,High-A,Seventh Inning,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Toledo Mud Hens,Triple-A,Eighth Inning,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Toledo Mud Hens,Triple-A,Ninth Inning,1,0,0,0,0,0,0,0,1,0,0,0,0,.000,1.000,.000,1.000
