Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2016,,2B,13,,10,4,0,0,6,7,579,77%,75%,2%
2017,,ALL,7,,4,-1,2,1,2,4,612,75%,74%,1%
2017,,SS,1,,0,0,1,0,0,0,16,88%,82%,6%
2017,,2B,6,,4,0,1,1,2,4,596,75%,74%,1%
2018,,ALL,7,,1,4,0,2,2,5,445,78%,76%,2%
2018,,ALL,4,,-1,2,2,0,2,2,117,75%,72%,4%
2018,,ALL,3,,1,2,-2,2,0,3,328,78%,77%,1%
2018,,SS,2,,0,1,0,0,1,1,30,80%,74%,6%
2018,,SS,2,,0,1,0,0,1,1,30,80%,74%,6%
2018,,2B,5,,0,3,0,2,1,4,415,77%,76%,1%
2018,,2B,2,,-1,1,2,0,1,1,87,74%,71%,3%
2018,,2B,3,,1,2,-2,2,0,3,328,78%,77%,1%
2019,,2B,4,,0,8,-3,0,4,0,357,72%,71%,1%
2020,,2B,5,,2,2,1,0,-1,5,137,78%,75%,3%
2021,,ALL,5,,3,2,0,0,1,4,392,77%,75%,1%
2021,,3B,0,,0,0,0,0,0,0,1,100%,91%,9%
2021,,2B,1,,3,-1,-1,0,1,-1,134,81%,80%,0%
2021,,1B,4,,0,3,1,0,-1,5,257,74%,73%,2%
2022,,ALL,27,,5,14,4,3,13,14,419,79%,72%,6%
2022,,2B,27,,5,15,4,3,14,13,415,79%,72%,7%
2022,,1B,0,,0,0,0,0,-1,0,4,75%,84%,-9%
Career,,ALL,68,,24,34,4,5,28,40,2941,76%,74%,2%
