Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2014,3 Teams,,Minors,C,20,20,185.0,210,181,25,4,0,,.981
2014,3 Teams,,Minors,LF,36,36,293.0,65,61,3,1,0,,.985
2014,3 Teams,,Minors,DH,16,16,0.0,0,0,0,0,0,,.000
2014,3 Teams,,Minors,C,20,20,185.0,210,181,25,4,0,,.981
2014,3 Teams,,Minors,LF,36,36,293.0,65,61,3,1,0,,.985
2014,3 Teams,,Minors,DH,16,16,0.0,0,0,0,0,0,,.000
2014,Boise Hawks,NWL,A(Short),C,2,2,18.0,27,23,2,2,0,,.926
2014,Boise Hawks,NWL,A(Short),LF,2,2,19.0,3,3,0,0,0,,1.000
2014,Boise Hawks,NWL,A(Short),DH,1,1,0.0,0,0,0,0,0,,.000
2014,Kane County Cougars,MID,A(Full),C,9,9,80.0,76,65,11,0,0,,1.000
2014,Kane County Cougars,MID,A(Full),LF,8,8,65.0,11,11,0,0,0,,1.000
2014,Kane County Cougars,MID,A(Full),DH,6,6,0.0,0,0,0,0,0,,.000
2014,Daytona Cubs,FSL,A(Adv),C,9,9,87.0,107,93,12,2,0,,.981
2014,Daytona Cubs,FSL,A(Adv),LF,26,26,209.0,51,47,3,1,0,,.980
2014,Daytona Cubs,FSL,A(Adv),DH,9,9,0.0,0,0,0,0,0,,.000
2015,2 Teams,,Minors,DH,19,19,0.0,0,0,0,0,0,,.000
2015,2 Teams,,Minors,C,52,50,438.2,407,355,45,7,4,,.983
2015,2 Teams,,Minors,DH,19,19,0.0,0,0,0,0,0,,.000
2015,2 Teams,,Minors,C,52,50,438.2,407,355,45,7,4,,.983
2015,Tennessee Smokies,SOU,AA,C,37,36,320.1,311,265,41,5,3,,.984
2015,Tennessee Smokies,SOU,AA,DH,17,17,0.0,0,0,0,0,0,,.000
2015,Iowa Cubs,PCL,AAA,C,15,14,118.1,96,90,4,2,1,,.979
2015,Iowa Cubs,PCL,AAA,DH,2,2,0.0,0,0,0,0,0,,.000
2017,Iowa Cubs,PCL,AAA,LF,9,9,75.0,8,8,0,0,0,,1.000
2017,Iowa Cubs,PCL,AAA,DH,2,1,0.0,0,0,0,0,0,,.000
,Iowa Cubs,INT,AAA,C,15,14,118.1,96,90,4,2,1,,.979
,Iowa Cubs,INT,AAA,LF,9,9,75.0,8,8,0,0,0,,1.000
,Iowa Cubs,INT,AAA,DH,4,3,0.0,0,0,0,0,0,,.000
,Tennessee Smokies,SOU,AA,C,37,36,320.1,311,265,41,5,3,,.984
,Tennessee Smokies,SOU,AA,DH,17,17,0.0,0,0,0,0,0,,.000
,Daytona Tortugas,FSL,A+,C,9,9,87.0,107,93,12,2,0,,.981
,Daytona Tortugas,FSL,A+,LF,26,26,209.0,51,47,3,1,0,,.980
,Daytona Tortugas,FSL,A+,DH,9,9,0.0,0,0,0,0,0,,.000
,Kane County Cougars,MID,A,C,9,9,80.0,76,65,11,0,0,,1.000
,Kane County Cougars,MID,A,LF,8,8,65.0,11,11,0,0,0,,1.000
,Kane County Cougars,MID,A,DH,6,6,0.0,0,0,0,0,0,,.000
,Boise Hawks,PIO,A(Short),C,2,2,18.0,27,23,2,2,0,,.926
,Boise Hawks,PIO,A(Short),LF,2,2,19.0,3,3,0,0,0,,1.000
,Boise Hawks,PIO,A(Short),DH,1,1,0.0,0,0,0,0,0,,.000
,5 Teams,,Minors,C,72,70,623.2,617,536,70,11,4,,.982
,4 Teams,,Minors,LF,45,45,368.0,73,69,3,1,0,,.986
,5 Teams,,Minors,DH,37,36,0.0,0,0,0,0,0,,.000
,5 Teams,,Minors,C,72,70,623.2,617,536,70,11,4,,.982
,4 Teams,,Minors,LF,45,45,368.0,73,69,3,1,0,,.986
Career Minors,5 Teams,,,DH,37,36,0.0,0,0,0,0,0,,.000
