Season,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Barrel %,Barrel/PA
2015,42.9,25.6,22.4,9.0,44.9,32.7,21.2,1.3,30.1,25.6,23.1,6.4,12.2,7.0
2016,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0
2017,38.6,30.9,18.4,12.1,37.9,38.6,23.5,5.5,23.9,29.4,19.5,5.5,15.1,8.4
2018,46.0,23.7,24.4,5.8,41.6,36.1,22.3,4.8,32.3,22.7,22.0,4.8,12.7,7.3
2019,38.8,28.8,24.0,8.4,40.9,31.1,28.0,2.4,27.7,25.9,19.8,9.0,14.5,9.0
2020,51.2,24.8,19.2,4.8,44.8,36.0,19.2,4.8,32.8,19.2,20.8,8.8,11.2,6.3
2021,39.4,33.6,20.8,6.2,43.8,36.1,20.1,2.9,26.6,24.5,21.2,6.9,17.5,10.2
2022,34.3,33.8,20.6,11.3,42.5,37.7,19.8,4.5,21.4,27.7,17.4,8.7,20.1,11.4
Player,40.3,29.4,21.6,8.6,42.0,35.5,22.5,3.8,27.0,25.6,20.2,7.2,15.4,8.9
MLB,44.9,23.1,25.0,7.1,36.8,37.7,25.4,3.8,33.0,24.6,24.4,5.7,6.7,4.6
