Season,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Barrel %,Barrel/PA
2015,54.4,15.2,30.4,0.0,36.7,45.6,17.7,1.3,36.7,13.9,30.4,6.3,10.1,7.1
2016,47.2,20.0,29.8,3.0,32.7,37.9,29.2,1.6,35.9,17.3,28.4,7.5,8.3,6.0
2017,42.6,22.9,30.7,3.9,31.9,39.4,28.7,4.6,29.4,20.4,30.2,6.8,8.5,5.7
2018,44.7,22.4,31.8,1.2,32.9,41.2,25.9,0.0,36.5,21.2,22.4,9.4,8.2,6.1
2019,39.0,28.1,26.6,6.3,33.9,38.2,27.8,1.3,31.4,29.6,22.0,7.1,7.3,5.4
2020,40.1,31.1,27.1,1.7,37.9,36.7,25.4,3.4,26.6,19.8,19.8,13.0,15.8,12.1
2021,46.6,24.1,25.2,4.1,33.8,42.1,24.1,4.1,31.0,20.7,22.1,9.7,12.4,8.8
2022,40.2,30.3,25.9,3.6,39.6,35.6,24.8,1.8,28.1,25.1,24.2,9.9,10.5,7.8
Player,43.2,25.1,28.0,3.7,34.8,38.5,26.6,2.5,31.3,22.0,25.3,8.5,9.7,7.0
MLB,44.9,23.1,25.0,7.1,36.8,37.7,25.4,3.8,33.0,24.6,24.4,5.7,6.7,4.6
