Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Texas Rangers,MLB,First Inning,162,143,22,34,8,0,3,4,19,24,9,3,0,.238,.327,.357,.684
Texas Rangers,MLB,Second Inning,32,28,2,3,0,0,1,5,3,7,0,0,0,.107,.188,.214,.402
Texas Rangers,MLB,Third Inning,112,102,18,26,3,1,8,18,8,17,4,1,1,.255,.313,.539,.852
Texas Rangers,MLB,Fourth Inning,45,41,6,14,2,0,3,9,1,9,1,0,1,.341,.356,.610,.966
Texas Rangers,MLB,Fifth Inning,90,82,12,21,7,1,2,14,7,12,5,1,0,.256,.311,.439,.750
Texas Rangers,MLB,Sixth Inning,74,68,11,16,4,1,1,4,5,14,3,1,1,.235,.297,.368,.665
Texas Rangers,MLB,Seventh Inning,69,65,6,16,3,1,2,9,2,14,0,0,0,.246,.261,.415,.676
Texas Rangers,MLB,Eighth Inning,75,69,12,16,1,1,3,9,6,15,0,0,0,.232,.293,.406,.699
Texas Rangers,MLB,Ninth Inning,56,52,11,15,2,0,3,6,2,8,3,2,1,.288,.321,.500,.821
Texas Rangers,MLB,Extra Innings,9,7,1,2,1,0,0,5,0,0,0,0,0,.286,.222,.429,.651
