Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Nashville Sounds,Triple-A,Home Games,10,9,2,2,0,0,0,2,1,0,0,0,0,.222,.300,.222,.522
Stockton Ports,Class A Advanced,Home Games,8,8,2,4,2,0,1,2,0,2,0,0,0,.500,.500,1.125,1.625
Nashville Sounds,Triple-A,Away Games,5,5,2,2,0,0,1,1,0,1,0,0,0,.400,.400,1.000,1.400
Stockton Ports,Class A Advanced,Away Games,12,9,0,2,1,0,0,3,0,0,0,0,0,.222,.167,.333,.500
Stockton Ports,Class A Advanced,Day Games,4,3,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000,.000
Nashville Sounds,Triple-A,Night Games,15,14,4,4,0,0,1,3,1,1,0,0,0,.286,.333,.500,.833
Stockton Ports,Class A Advanced,Night Games,16,14,2,6,3,0,1,4,0,2,0,0,0,.429,.375,.857,1.232
Nashville Sounds,Triple-A,Leading Off,2,2,,0,0,0,0,0,0,0,,,0,.000,.000,.000,.000
Stockton Ports,Class A Advanced,Leading Off,1,1,,0,0,0,0,0,0,0,,,0,.000,.000,.000,.000
Nashville Sounds,Triple-A,Late / Close,4,3,,1,0,0,0,2,1,0,,,0,.333,.500,.333,.833
