Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,501",54.1,404,360,86,51,16,2,17,52,313,.239,.266,.436,.455,.323,.344,89.2,21,15.8,14.4
2022,Breaking,987,35.6,238,220,60,40,11,2,7,50,175,.273,.232,.436,.344,.319,.274,84.0,20,27.6,17.1
2022,Offspeed,288,10.4,82,77,17,10,4,1,2,18,59,.221,.165,.377,.248,.281,.210,87.3,14,22.8,15.1
2021,Fastballs,"1,645",56.3,451,405,121,62,22,1,36,64,342,.299,.281,.625,.538,.414,.380,91.2,22,16.4,14.8
2021,Breaking,921,31.5,190,167,31,12,11,1,7,61,108,.186,.171,.389,.316,.286,.259,86.3,20,31.6,19.6
2021,Offspeed,356,12.2,83,80,21,13,6,0,2,21,59,.263,.246,.413,.362,.301,.278,87.5,12,25.6,16.8
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
