Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,293",54.5,315,273,81,49,14,1,17,53,222,.297,.282,.542,.548,.399,.394,91.8,20,17.5,14.8
2022,Breaking,853,35.9,191,177,35,21,8,1,5,40,137,.198,.217,.339,.374,.264,.285,87.1,17,24.3,14.5
2022,Offspeed,227,9.6,68,58,16,9,4,1,2,3,57,.276,.263,.483,.426,.357,.340,89.4,16,12.6,4.1
2021,Fastballs,"1,068",51.3,247,203,64,31,13,2,18,37,169,.315,.297,.665,.598,.450,.427,93.2,22,15.4,12.9
2021,Breaking,778,37.4,190,160,29,20,4,0,5,46,120,.181,.206,.300,.344,.260,.303,87.2,19,28.9,17.2
2021,Offspeed,234,11.3,60,51,14,10,2,0,2,18,35,.275,.202,.431,.369,.338,.301,85.1,8,24.0,20.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
