Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
San Diego Padres,MLB,First Inning,52,44,7,9,0,0,1,1,8,11,0,0,0,.205,.327,.273,.600
Washington Nationals,MLB,First Inning,101,83,14,17,2,0,4,7,18,8,2,1,0,.205,.347,.373,.720
San Diego Padres,MLB,Second Inning,5,4,0,0,0,0,0,0,1,0,0,0,0,.000,.200,.000,.200
Washington Nationals,MLB,Second Inning,15,15,2,4,1,0,1,5,0,3,0,0,0,.267,.267,.533,.800
Washington Nationals,MLB,Third Inning,53,41,6,5,1,0,3,7,12,7,0,0,0,.122,.321,.366,.687
San Diego Padres,MLB,Third Inning,37,30,5,6,0,0,0,1,6,5,0,0,1,.200,.351,.200,.551
San Diego Padres,MLB,Fourth Inning,17,13,2,3,0,0,1,2,4,1,0,0,0,.231,.412,.462,.874
Washington Nationals,MLB,Fourth Inning,46,35,9,13,1,0,2,5,11,4,0,1,0,.371,.522,.571,1.093
Washington Nationals,MLB,Fifth Inning,46,33,4,7,0,1,3,8,13,10,1,0,0,.212,.435,.545,.980
San Diego Padres,MLB,Fifth Inning,28,20,6,7,4,0,1,3,8,3,0,0,0,.350,.536,.700,1.236
San Diego Padres,MLB,Sixth Inning,24,22,2,3,1,1,0,0,2,5,0,0,0,.136,.208,.273,.481
Washington Nationals,MLB,Sixth Inning,49,38,10,14,5,0,3,4,10,5,0,0,1,.368,.510,.737,1.247
San Diego Padres,MLB,Seventh Inning,25,21,5,5,1,0,2,4,4,7,0,0,0,.238,.360,.571,.931
Washington Nationals,MLB,Seventh Inning,40,33,3,8,0,0,1,3,7,12,1,0,0,.242,.375,.333,.708
Washington Nationals,MLB,Eighth Inning,50,39,8,10,5,0,1,1,10,7,2,0,1,.256,.420,.462,.882
San Diego Padres,MLB,Eighth Inning,21,15,2,8,1,0,1,3,6,2,0,0,0,.533,.667,.800,1.467
San Diego Padres,MLB,Ninth Inning,17,12,1,2,1,0,0,2,4,0,0,0,0,.167,.375,.250,.625
Washington Nationals,MLB,Ninth Inning,35,25,6,6,2,0,3,6,9,6,0,0,1,.240,.457,.680,1.137
San Diego Padres,MLB,Extra Innings,2,1,1,0,0,0,0,0,1,0,0,0,0,.000,.500,.000,.500
Washington Nationals,MLB,Extra Innings,1,0,0,0,0,0,0,0,1,0,0,0,0,.000,1.000,.000,1.000
