Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2018,HOU,AL,LF,1,1,9.0,3,3,0,0,0,,1.000
2018,HOU,AL,CF,3,0,5.0,3,3,0,0,0,,1.000
2018,HOU,AL,RF,5,1,16.0,3,3,0,0,0,,1.000
2019,HOU,AL,2B,4,1,15.0,6,0,6,0,0,,1.000
2019,HOU,AL,SS,26,14,170.0,55,14,41,0,4,,1.000
2019,HOU,AL,LF,8,3,35.0,10,10,0,0,0,,1.000
2019,HOU,AL,CF,11,8,76.0,17,17,0,0,0,,1.000
2019,HOU,AL,RF,2,1,10.0,2,2,0,0,0,,1.000
2019,HOU,AL,DH,2,0,0.0,0,0,0,0,0,,.000
2020,HOU,AL,SS,1,0,3.0,0,0,0,0,0,,.000
2020,HOU,AL,CF,27,19,186.0,44,44,0,0,0,,1.000
2020,HOU,AL,DH,2,0,0.0,0,0,0,0,0,,.000
2021,HOU,AL,CF,96,93,831.2,239,234,5,0,2,,1.000
2021,CLE,AL,CF,60,56,506.1,155,152,1,2,0,,.987
2021,2 Teams,,CF,156,149,1338.0,394,386,6,2,2,,.995
2022,CLE,AL,CF,152,144,1309.0,385,371,12,2,2,,.995
5 Seasons,2 Teams,,CF,349,320,2914.0,843,821,18,4,4,,.995
,HOU,AL,2B,4,1,15.0,6,0,6,0,0,,1.000
,HOU,AL,SS,27,14,173.0,55,14,41,0,4,,1.000
,HOU,AL,LF,9,4,44.0,13,13,0,0,0,,1.000
,HOU,AL,RF,7,2,26.0,5,5,0,0,0,,1.000
,HOU,AL,DH,4,0,0.0,0,0,0,0,0,,.000
