,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2014,DET,AL,85,277,244,33,59,9,1,4,23,22,67,3,2,5,.242,.316,.336,.652
,2015,CIN,NL,97,398,372,42,104,19,2,13,48,17,94,4,1,3,.280,.315,.446,.761
,2016,CIN,NL,159,627,565,78,140,25,2,21,70,51,155,11,5,8,.248,.317,.411,.728
,2017,CIN,NL,156,632,534,87,139,25,2,26,82,84,147,4,5,9,.260,.367,.461,.828
*,2018,CIN,NL,143,606,527,79,149,22,2,34,104,64,142,1,1,9,.283,.366,.526,.892
,2019,CIN,NL,159,662,575,87,156,22,2,49,103,70,189,3,2,11,.271,.358,.572,.930
,2020,CIN,NL,57,231,198,29,40,8,0,15,38,30,67,2,0,2,.202,.312,.470,.782
,2021,CIN,NL,145,574,505,71,100,23,0,31,79,56,171,0,1,8,.198,.286,.428,.714
,2022,SEA,AL,150,629,543,76,128,24,2,31,87,73,196,0,0,8,.236,.332,.459,.791
,9 Seasons,3 Teams,,1151,4636,4063,582,1015,177,13,224,634,467,1228,28,17,63,.250,.334,.465,.799
