Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %
2015,"1,581",54.0,62.8,81.2,25.3,54.3,44.7,24.6,45.5,25.3,7.9,72.8
2016,"2,594",49.4,61.4,82.6,26.0,57.5,42.4,20.7,43.5,24.8,7.6,68.7
2017,"2,687",48.4,64.3,83.3,21.6,53.8,43.4,21.2,42.2,24.4,7.3,72.6
2018,"2,429",49.4,68.2,84.2,21.8,44.0,42.1,30.4,44.7,25.7,7.4,81.6
2019,"2,728",47.5,67.1,80.5,24.1,47.2,44.1,29.5,44.4,28.7,6.9,76.6
2020,999,45.2,63.3,78.3,23.9,46.6,41.5,23.4,41.7,31.7,6.1,68.9
2021,"2,391",47.5,64.3,81.1,23.2,43.6,42.1,33.1,42.7,29.5,7.4,73.3
2022,"2,617",48.3,63.6,76.0,21.5,41.9,41.8,28.3,41.8,33.1,7.9,74.0
Player,"18,026",48.7,64.5,81.1,23.3,48.7,42.8,26.7,43.3,27.7,7.4,73.9
MLB,,48.5,66.9,82.0,28.4,58.3,42.6,29.5,47.1,24.7,7.2,76.1
