Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,0.5,4,808,30.9,209,.229,.469,.353,28.1,30.1,26.9,.215,.484,.355,52.1
2022,Slider,,0.1,1,657,25.1,150,.196,.420,.284,43.1,38.0,23.6,.192,.415,.284,38.6
2022,Sinker,,2.0,10,486,18.6,120,.313,.545,.423,22.2,17.5,19.8,.281,.512,.398,38.0
2022,Curveball,,0.1,0,236,9.0,52,.220,.420,.287,41.2,46.2,32.9,.189,.377,.258,46.2
2022,Changeup,,2.0,4,204,7.8,50,.263,.447,.384,31.9,32.0,16.7,.250,.485,.402,39.1
2022,Cutter,,1.4,3,185,7.1,39,.226,.419,.383,33.8,25.6,21.7,.224,.401,.357,33.3
2022,Splitter,,-2.3,-1,37,1.4,8,.000,.000,.088,55.6,62.5,25.0,.019,.048,.111,50.0
2022,N/A,,15.8,1,4,0.2,1,1.000,2.000,1.250,0.0,0.0,0.0,.643,1.551,.919,100.0
2021,4-Seamer,,0.6,4,801,33.5,184,.244,.591,.382,25.7,26.1,19.1,.261,.620,.394,45.8
2021,Slider,,-0.4,-2,477,19.9,118,.162,.371,.263,47.8,44.9,27.9,.163,.354,.261,37.0
2021,Sinker,,-4.1,-17,422,17.6,119,.129,.228,.236,12.2,11.8,18.7,.240,.383,.329,33.0
2021,Curveball,,0.2,1,276,11.5,52,.240,.420,.297,35.6,44.2,23.2,.192,.395,.263,48.1
2021,Changeup,,0.3,1,264,11.0,60,.204,.408,.354,28.7,30.0,18.2,.154,.324,.292,35.5
2021,Cutter,,0.4,0,123,5.1,33,.241,.483,.353,25.0,27.3,26.5,.246,.560,.377,35.0
2021,Splitter,,-1.4,0,28,1.2,8,.143,.286,.244,71.4,75.0,50.0,.055,.060,.137,100.0
2020,4-Seamer,,1.3,5,354,35.4,86,.214,.543,.384,24.8,25.6,20.6,.226,.532,.384,47.9
2020,Slider,,-0.3,0,189,18.9,37,.167,.367,.314,51.3,37.8,19.4,.169,.414,.327,43.8
2020,Sinker,,-2.3,-4,172,17.2,41,.179,.333,.241,17.9,22.0,23.1,.215,.354,.264,40.0
2020,Curveball,,-2.1,-3,123,12.3,20,.056,.111,.178,46.3,45.0,23.1,.135,.264,.219,33.3
2020,Changeup,,4.4,3,79,7.9,25,.261,.696,.426,21.4,24.0,20.0,.281,.636,.390,55.6
2020,Cutter,,5.5,4,74,7.4,19,.375,.813,.576,36.6,26.3,22.7,.293,.662,.445,36.4
2020,Splitter,,-2.2,0,8,0.8,2,.000,.000,.000,50.0,100.0,100.0,--,--,.000,--
2019,4-Seamer,,2.1,19,892,32.7,208,.298,.625,.445,24.7,23.6,16.2,.277,.580,.415,42.1
2019,Sinker,,2.4,13,523,19.2,137,.328,.712,.457,16.7,19.0,19.7,.281,.578,.385,42.2
2019,Slider,,-0.2,-1,470,17.2,132,.224,.480,.318,43.1,39.4,29.2,.214,.414,.278,32.4
2019,Curveball,,-0.7,-2,292,10.7,49,.178,.356,.263,41.5,42.9,24.1,.185,.318,.252,33.3
2019,Changeup,,0.1,0,245,9.0,63,.200,.400,.310,31.6,36.5,23.7,.220,.415,.319,50.0
2019,Cutter,,1.0,2,194,7.1,46,.350,.700,.475,19.5,17.4,14.5,.282,.646,.419,46.9
2019,Splitter,,-2.9,-1,34,1.2,6,.000,.000,.117,61.5,83.3,50.0,--,--,.117,--
2018,4-Seamer,,0.0,0,930,38.3,193,.257,.383,.327,20.5,22.8,15.9,.244,.406,.331,41.6
2018,Sinker,,3.6,17,483,19.9,135,.376,.615,.483,20.5,16.3,18.5,.333,.537,.410,49.0
2018,Slider,,-0.9,-3,378,15.6,100,.191,.472,.324,41.6,32.0,25.4,.242,.527,.361,41.4
2018,Curveball,,4.4,10,225,9.3,48,.295,.545,.370,26.3,31.3,20.3,.272,.516,.351,53.3
2018,Changeup,,2.7,5,205,8.4,58,.255,.647,.412,30.2,27.6,20.3,.262,.579,.395,51.4
2018,Cutter,,5.0,9,178,7.3,52,.354,.833,.496,21.3,19.2,22.7,.328,.790,.475,48.7
2018,Splitter,,-1.5,0,24,1.0,9,.222,.222,.200,30.8,22.2,16.7,.294,.353,.283,28.6
2018,Knuckleball,,-24.7,0,1,0.0,1,.000,.000,.000,--,100.0,100.0,--,--,.000,--
2017,4-Seamer,,2.1,20,974,36.2,211,.323,.561,.448,19.8,17.1,13.0,.302,.530,.419,30.5
2017,Sinker,,0.4,2,570,21.2,138,.292,.381,.363,13.7,15.2,14.9,.293,.423,.375,31.2
2017,Slider,,-0.7,-3,406,15.1,114,.186,.343,.276,36.6,33.3,25.0,.187,.305,.255,27.7
2017,Curveball,,-0.5,-1,266,9.9,62,.140,.316,.231,36.2,37.1,25.3,.220,.381,.288,29.4
2017,Changeup,,0.5,1,243,9.0,51,.191,.489,.349,31.3,29.4,15.8,.231,.470,.322,46.9
2017,Cutter,,3.3,6,181,6.7,46,.357,.690,.484,23.5,23.9,18.3,.286,.485,.356,35.5
2017,Splitter,,1.6,0,30,1.1,6,.167,.333,.208,47.1,50.0,21.4,.153,.215,.161,33.3
2017,Knuckleball,,4.4,1,13,0.5,2,.500,2.000,1.000,20.0,0.0,0.0,.327,1.039,.546,50.0
