Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Memphis Redbirds,Triple-A,Bases Empty,73,65,,17,2,1,1,1,8,24,,,0,.262,.342,.369,.711
Rochester Red Wings,Triple-A,Bases Empty,9,9,,3,1,0,1,1,0,2,,,0,.333,.333,.778,1.111
Memphis Redbirds,Triple-A,Bases Loaded,4,4,,3,0,0,1,8,0,1,,,0,.750,.750,1.500,2.250
Memphis Redbirds,Triple-A,Runner at 1st,18,16,,4,2,0,1,2,2,6,,,0,.250,.333,.563,.896
Memphis Redbirds,Triple-A,Runners at 1st & 2nd,8,7,,1,0,0,0,0,1,1,,,0,.143,.250,.143,.393
Rochester Red Wings,Triple-A,Runners at 1st & 2nd,2,2,,1,0,0,0,1,0,0,,,0,.500,.500,.500,1.000
Memphis Redbirds,Triple-A,Runners at 1st & 3rd,6,4,,1,0,0,0,2,0,2,,,1,.250,.333,.250,.583
Rochester Red Wings,Triple-A,Runners at 1st & 3rd,2,2,,1,0,0,0,1,0,0,,,0,.500,.500,.500,1.000
Memphis Redbirds,Triple-A,Runner at 2nd,12,11,,2,0,1,1,3,1,1,,,0,.182,.250,.636,.886
Memphis Redbirds,Triple-A,Runners at 2nd & 3rd,5,5,,2,1,0,0,4,0,0,,,0,.400,.400,.600,1.000
Memphis Redbirds,Triple-A,Runner at 3rd,1,1,,0,0,0,0,0,0,0,,,0,.000,.000,.000,.000
Memphis Redbirds,Triple-A,Scoring Position,36,32,,9,1,1,2,17,2,5,,,1,.281,.333,.563,.896
Rochester Red Wings,Triple-A,Scoring Position,4,4,,2,0,0,0,2,0,0,,,0,.500,.500,.500,1.000
