Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Round Rock Express,Triple-A,First Inning,75,67,16,22,3,0,8,24,6,19,3,1,1,.328,.387,.731,1.118
Round Rock Express,Triple-A,Second Inning,54,47,4,10,0,2,1,3,6,17,3,0,1,.213,.315,.362,.677
Round Rock Express,Triple-A,Third Inning,67,56,10,15,9,1,1,7,10,10,2,0,0,.268,.373,.518,.891
Round Rock Express,Triple-A,Fourth Inning,53,45,11,15,2,0,4,14,6,10,4,1,0,.333,.404,.644,1.048
Round Rock Express,Triple-A,Fifth Inning,60,52,11,12,0,0,7,10,8,10,4,2,0,.231,.333,.635,.968
Round Rock Express,Triple-A,Sixth Inning,64,56,10,14,2,0,4,11,7,12,3,1,1,.250,.344,.500,.844
Round Rock Express,Triple-A,Seventh Inning,61,52,12,13,2,0,5,13,6,14,4,0,1,.250,.333,.577,.910
Round Rock Express,Triple-A,Eighth Inning,58,49,7,11,4,0,1,5,8,17,5,0,1,.224,.345,.367,.712
Round Rock Express,Triple-A,Ninth Inning,37,33,7,9,3,0,3,6,2,6,2,0,1,.273,.324,.636,.960
Round Rock Express,Triple-A,Extra Innings,8,7,5,3,2,0,0,5,1,1,0,0,0,.429,.500,.714,1.214
