Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,205",53.3,340,303,82,52,15,1,14,48,256,.271,.273,.465,.502,.351,.367,90.5,17,17.2,14.9
2022,Breaking,680,30.1,175,160,40,19,7,0,14,33,127,.250,.237,.556,.476,.371,.336,88.6,24,24.4,14.2
2022,Offspeed,377,16.7,90,81,18,10,6,0,2,14,68,.222,.273,.370,.423,.290,.338,89.0,16,21.1,11.8
2021,Fastballs,"1,210",55.5,323,294,94,51,23,2,18,48,248,.320,.317,.595,.615,.405,.413,93.5,17,17.0,14.7
2021,Breaking,594,27.2,156,138,32,15,10,1,6,29,110,.232,.280,.449,.526,.327,.377,89.4,18,24.9,16.4
2021,Offspeed,376,17.2,83,74,23,13,4,0,6,13,63,.311,.290,.608,.511,.401,.369,85.3,19,25.3,11.3
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
