Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2009,BAL,AL,22,3,13,0,0,.200,0,1,3,87,3.955,.136,.000,1.333,.000,1,0
2010,BAL,AL,9,0,4,0,0,.000,0,0,1,35,3.889,.333,.000,.---,.000,0,0
2010,NYM,NL,9,2,6,0,0,.125,1,0,1,34,3.778,.000,.000,.---,.125,0,0
2010,2 Teams,,18,2,10,0,0,.071,1,0,2,69,3.833,.167,.000,.333,.059,0,0
2011,NYM,NL,487,155,155,2,1,.292,34,9,65,1849,3.797,.121,.008,.661,.097,3,2
2012,NYM,NL,185,67,72,0,1,.301,16,9,27,745,4.027,.130,.011,.375,.123,4,0
2013,NYM,NL,214,77,82,1,1,.327,16,6,33,885,4.136,.159,.009,.324,.105,1,0
2014,LAD,NL,322,142,103,0,2,.404,29,6,58,1338,4.155,.180,.022,.483,.153,2,0
2015,LAD,NL,439,189,147,1,4,.321,43,10,60,1719,3.916,.162,.036,.507,.197,1,0
2016,LAD,NL,622,274,226,0,8,.293,64,16,123,2466,3.965,.172,.043,.449,.218,7,1
2017,LAD,NL,543,242,180,1,7,.326,53,12,107,2030,3.738,.103,.039,1.054,.208,2,1
2018,LAD,NL,426,189,138,0,2,.334,46,10,73,1733,4.068,.127,.033,.870,.205,5,1
2019,LAD,NL,549,244,185,0,5,.304,51,11,88,2151,3.918,.160,.049,.580,.219,6,0
2020,LAD,NL,175,69,54,0,1,.347,14,2,26,681,3.891,.149,.023,.692,.153,3,0
2021,LAD,NL,612,251,241,0,6,.292,49,12,103,2465,4.028,.160,.044,.622,.193,5,0
2022,LAD,NL,532,205,201,0,8,.313,49,13,96,2144,4.030,.167,.024,.562,.160,1,0
14 Seasons,3 Teams,,5146,2109,1807,5,46,.315,465,117,864,20362,3.957,.150,.032,.600,.177,41,5
