Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %
2015,"1,719",50.9,67.2,85.2,24.7,73.6,40.4,27.6,46.3,17.8,8.5,78.1
2016,"2,466",51.9,63.8,83.8,23.6,73.9,43.7,26.4,44.4,18.5,8.2,72.4
2017,"2,030",48.2,67.5,87.9,21.7,74.2,41.8,27.3,43.8,15.7,7.5,76.7
2018,"1,733",51.7,63.8,91.4,21.5,71.7,42.4,21.7,43.4,13.2,8.3,76.4
2019,"2,151",49.7,66.6,86.8,24.5,72.2,41.2,26.2,45.5,17.1,7.3,80.6
2020,681,49.5,67.4,86.8,18.9,53.8,41.7,23.4,42.9,20.5,7.5,70.6
2021,"2,465",49.3,66.9,86.8,22.6,69.3,43.1,24.7,44.5,17.7,8.2,77.1
2022,"2,144",49.3,70.4,83.9,26.7,69.0,43.5,27.9,48.2,20.3,7.8,80.2
Player,"15,389",50.1,66.6,86.4,23.4,71.2,42.4,25.9,45.1,17.5,7.9,76.9
MLB,,48.5,66.9,82.0,28.4,58.3,42.6,29.5,47.1,24.7,7.2,76.1
