Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2015,WSH,NL,44,13,11,0,0,.296,2,0,4,171,3.886,.273,.023,.333,.100,0,0
2016,WSH,NL,324,174,102,0,2,.388,35,1,25,1232,3.802,.182,.040,.237,.225,3,1
2017,WSH,NL,447,186,134,0,1,.329,41,4,40,1694,3.790,.179,.025,.375,.167,10,0
2018,WSH,NL,740,276,234,2,0,.314,52,7,88,2927,3.955,.178,.026,.523,.145,10,0
2019,WSH,NL,569,259,148,0,2,.348,61,10,56,2233,3.924,.199,.033,.381,.200,3,3
2020,WSH,NL,259,137,70,0,2,.353,31,5,28,1033,3.988,.139,.046,.611,.253,2,0
2021,WSH,NL,420,202,125,0,2,.363,38,13,61,1646,3.919,.183,.043,.338,.198,1,0
2021,LAD,NL,226,117,47,0,2,.361,27,5,14,841,3.721,.146,.044,.455,.227,0,0
2021,2 Teams,,646,319,172,0,4,.362,65,18,75,2487,3.850,.170,.043,.373,.208,1,0
2022,LAD,NL,708,304,264,0,6,.342,64,9,96,2720,3.842,.185,.030,.344,.169,3,0
8 Seasons,2 Teams,,3737,1668,1135,2,17,.344,351,54,412,14497,3.879,.180,.033,.398,.185,32,4
