Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %
2015,171,57.9,54.5,83.3,19.4,57.1,47.4,20.5,39.8,20.6,5.3,33.3
2016,"1,232",49.3,63.4,86.0,31.8,56.8,45.3,22.5,47.4,23.6,7.9,77.3
2017,"1,694",51.1,65.2,82.4,21.9,56.4,42.9,26.0,44.1,22.5,7.4,82.4
2018,"2,927",50.1,64.8,84.9,23.2,61.1,43.1,26.5,44.0,20.2,8.0,73.5
2019,"2,234",46.2,67.5,87.2,29.1,54.6,43.1,27.0,46.9,23.4,7.0,71.2
2020,"1,033",48.7,67.6,86.5,27.2,66.0,45.3,27.0,46.9,19.6,8.9,80.4
2021,"2,487",49.5,72.3,84.6,26.5,56.8,41.7,34.6,49.2,23.0,8.4,78.5
2022,"2,720",46.1,72.4,84.5,33.1,53.7,41.6,35.5,51.2,26.3,6.9,82.4
Player,"14,498",48.7,67.8,85.0,27.5,57.0,42.9,29.2,47.1,22.9,7.7,77.2
MLB,,48.5,66.9,82.0,28.4,58.3,42.6,29.5,47.1,24.7,7.2,76.1
