Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2013,Great Lakes Loons,MID,A(Full),P,18,18,54.1,18,4,13,1,1,,.944
2014,Rancho Cucamonga Quakes,CAL,A(Adv),P,25,20,87.2,13,2,11,0,0,,1.000
2015,4 Teams,,Minors,P,18,18,80.1,16,2,13,1,0,,.938
2015,4 Teams,,Minors,P,18,18,80.1,16,2,13,1,0,,.938
2015,AZL Dodgers,AZL,ROK,P,2,2,3.0,1,0,1,0,0,,1.000
2015,Rancho Cucamonga Quakes,CAL,A(Adv),P,1,1,4.2,1,1,0,0,0,,1.000
2015,Tulsa Drillers,TEX,AA,P,13,13,68.1,14,1,12,1,0,,.929
2015,Oklahoma City Dodgers,PCL,AAA,P,2,2,4.1,0,0,0,0,0,,.000
2016,Oklahoma City Dodgers,PCL,AAA,P,11,7,45.0,15,2,13,0,0,,1.000
2017,Oklahoma City Dodgers,PCL,AAA,P,6,6,31.1,6,0,5,1,0,,.833
2018,3 Teams,,Minors,P,8,6,11.2,1,0,1,0,0,,1.000
2018,3 Teams,,Minors,P,8,6,11.2,1,0,1,0,0,,1.000
2018,AZL Dodgers,AZL,ROK,P,2,2,3.1,0,0,0,0,0,,.000
2018,Rancho Cucamonga Quakes,CAL,A(Adv),P,4,4,7.1,0,0,0,0,0,,.000
2018,Oklahoma City Dodgers,PCL,AAA,P,2,0,1.0,1,0,1,0,0,,1.000
2019,Rancho Cucamonga Quakes,CAL,A(Adv),P,1,1,2.0,0,0,0,0,0,,.000
,AZL Dodgers 2,AZL,ROK,P,4,4,6.1,1,0,1,0,0,,1.000
,Oklahoma City Dodgers,PCL,AAA,P,21,15,81.2,22,2,19,1,0,,.955
,Tulsa Drillers,TEX,AA,P,13,13,68.1,14,1,12,1,0,,.929
,Rancho Cucamonga Quakes,CAL,A+,P,31,26,101.2,14,3,11,0,0,,1.000
,Great Lakes Loons,MID,A,P,18,18,54.1,18,4,13,1,1,,.944
,5 Teams,,Minors,P,87,76,312.1,69,10,56,3,1,,.957
Career Minors,5 Teams,,,P,87,76,312.1,69,10,56,3,1,,.957
