Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2015,2 Teams,,Minors,P,11,5,37.2,6,1,5,0,1,,1.000
2015,2 Teams,,Minors,P,11,5,37.2,6,1,5,0,1,,1.000
2015,2 Teams,,Minors,P,11,5,37.2,6,1,5,0,1,,1.000
2015,Greeneville Astros,APP,ROK,P,6,3,21.1,2,0,2,0,0,,1.000
2015,Tri-City ValleyCats,NYP,A(Short),P,5,2,16.1,4,1,3,0,1,,1.000
2016,2 Teams,,Minors,P,24,21,125.1,15,7,7,1,1,,.933
2016,2 Teams,,Minors,P,24,21,125.1,15,7,7,1,1,,.933
2016,2 Teams,,Minors,P,24,21,125.1,15,7,7,1,1,,.933
2016,Quad Cities River Bandits,MID,A(Full),P,17,14,81.1,7,3,3,1,0,,.857
2016,Lancaster JetHawks,CAL,A(Adv),P,7,7,44.0,8,4,4,0,1,,1.000
2018,2 Teams,,Minors,P,13,11,57.1,6,3,3,0,0,,1.000
2018,2 Teams,,Minors,P,13,11,57.1,6,3,3,0,0,,1.000
2018,2 Teams,,Minors,P,13,11,57.1,6,3,3,0,0,,1.000
2018,Tri-City ValleyCats,NYP,A(Short),P,4,4,11.1,1,0,1,0,0,,1.000
2018,Buies Creek Astros,CAR,A(Adv),P,9,7,46.0,5,3,2,0,0,,1.000
2019,2 Teams,,Minors,P,20,18,103.0,15,5,10,0,0,,1.000
2019,2 Teams,,Minors,P,20,18,103.0,15,5,10,0,0,,1.000
2019,2 Teams,,Minors,P,20,18,103.0,15,5,10,0,0,,1.000
2019,Corpus Christi Hooks,TEX,AA,P,7,6,33.0,3,1,2,0,0,,1.000
2019,Round Rock Express,PCL,AAA,P,13,12,70.0,12,4,8,0,0,,1.000
2021,3 Teams,,Minors,P,4,4,15.2,5,3,2,0,0,,1.000
2021,3 Teams,,Minors,P,4,4,15.2,5,3,2,0,0,,1.000
2021,3 Teams,,Minors,P,4,4,15.2,5,3,2,0,0,,1.000
2021,FCL Astros,GCL,ROK,P,1,1,3.0,0,0,0,0,0,,.000
2021,Corpus Christi Hooks,TEX,AA,P,1,1,3.2,1,0,1,0,0,,1.000
2021,Sugar Land Skeeters,PCL,AAA,P,2,2,9.0,4,3,1,0,0,,1.000
,2 Teams,,ROK,P,7,4,24.1,2,0,2,0,0,,1.000
,2 Teams,,AAA,P,15,14,79.0,16,7,9,0,0,,1.000
,Corpus Christi Hooks,TEX,AA,P,8,7,36.2,4,1,3,0,0,,1.000
,2 Teams,,A+,P,16,14,90.0,13,7,6,0,1,,1.000
,Quad Cities River Bandits,MID,A,P,17,14,81.1,7,3,3,1,0,,.857
,Tri-City ValleyCats,NYP,A(Short),P,9,6,27.2,5,1,4,0,1,,1.000
,9 Teams,,Minors,P,72,59,339.0,47,19,27,1,2,,.979
,9 Teams,,Minors,P,72,59,339.0,47,19,27,1,2,,.979
Career Minors,9 Teams,,,P,72,59,339.0,47,19,27,1,2,,.979
