Year,Pitch Type,Team,RV/100,Run Value,Pitches,%,PA,BA,SLG,wOBA,Whiff%,K%,PutAway %,xBA,xSLG,xwOBA,Hard Hit %
2022,4-Seamer,,-0.2,-1,668,33.1,162,.250,.379,.316,22.6,19.8,15.9,.261,.430,.344,43.2
2022,Slider,,0.0,0,551,27.3,155,.248,.372,.297,24.9,16.1,14.9,.252,.378,.295,31.4
2022,Sinker,,1.6,4,270,13.4,84,.347,.520,.402,8.1,13.1,18.3,.273,.390,.316,39.4
2022,Changeup,,-0.7,-1,191,9.5,53,.280,.360,.311,23.6,15.1,12.1,.278,.404,.318,33.3
2022,Cutter,,2.8,4,159,7.9,43,.375,.700,.472,24.4,16.3,24.1,.365,.664,.461,45.5
2022,Curveball,,-0.8,-1,152,7.5,42,.317,.463,.330,20.3,23.8,17.5,.233,.336,.245,37.5
2022,Splitter,,1.9,0,22,1.1,8,.375,.375,.257,30.8,37.5,30.0,.197,.242,.192,20.0
2022,N/A,,47.2,1,2,0.1,1,1.000,1.000,.900,0.0,0.0,--,.894,1.101,.874,100.0
2022,Knuckleball,,5.5,0,1,0.0,,--,--,--,--,--,--,--,--,--,--
2021,4-Seamer,,0.4,2,554,32.6,133,.296,.536,.374,26.3,29.3,22.3,.261,.501,.343,47.7
2021,Slider,,-0.5,-2,417,24.6,112,.181,.286,.248,28.6,31.3,24.6,.205,.323,.256,37.1
2021,Sinker,,-0.6,-2,264,15.6,59,.291,.345,.340,17.7,13.6,13.3,.287,.380,.318,40.4
2021,Changeup,,-0.3,0,156,9.2,52,.320,.420,.324,25.0,25.0,24.5,.252,.305,.253,39.5
2021,Cutter,,1.8,3,149,8.8,40,.308,.590,.410,20.0,10.0,12.5,.334,.683,.432,45.7
2021,Curveball,,0.7,1,143,8.4,41,.293,.390,.321,26.2,19.5,19.5,.237,.350,.252,42.4
2021,Splitter,,-5.0,-1,14,0.8,5,.000,.000,.000,37.5,40.0,28.6,.138,.155,.129,0.0
2020,4-Seamer,,0.7,1,229,36.2,57,.239,.457,.370,19.8,12.3,12.5,.267,.430,.353,34.1
2020,Sinker,,-1.5,-2,125,19.7,39,.243,.351,.304,6.3,12.8,25.0,.315,.502,.368,62.5
2020,Slider,,2.4,3,112,17.7,30,.385,.423,.382,27.5,26.7,18.2,.299,.367,.340,10.5
2020,Curveball,,5.3,3,59,9.3,18,.313,.563,.444,44.8,22.2,19.0,.385,.481,.450,41.7
2020,Cutter,,-1.5,-1,49,7.7,12,.222,.333,.371,17.4,0.0,0.0,.343,.427,.368,40.0
2020,Changeup,,9.2,4,46,7.3,15,.500,1.143,.687,18.5,6.7,5.9,.416,1.000,.592,53.8
2020,Splitter,,-4.1,-1,13,2.1,3,.333,.333,.300,16.7,0.0,0.0,.178,.213,.176,33.3
2019,4-Seamer,,1.1,7,615,34.2,143,.331,.606,.439,22.3,19.6,14.2,.299,.564,.390,48.0
2019,Slider,,-0.7,-3,377,21.0,99,.234,.404,.279,28.1,27.3,21.8,.247,.446,.297,34.8
2019,Sinker,,2.3,6,251,14.0,70,.328,.594,.431,12.9,11.4,11.9,.305,.541,.385,50.0
2019,Curveball,,4.1,9,209,11.6,60,.373,.542,.416,20.6,18.3,14.3,.321,.481,.346,41.7
2019,Changeup,,1.9,3,150,8.3,51,.313,.542,.371,23.9,11.8,11.5,.312,.554,.372,39.5
2019,Cutter,,-0.9,-1,133,7.4,31,.323,.548,.369,22.1,9.7,7.7,.221,.332,.234,32.1
2019,Splitter,,4.3,1,31,1.7,11,.400,.400,.391,26.7,18.2,15.4,.242,.270,.267,12.5
2019,N/A,,20.6,0,2,0.1,1,--,--,.700,--,0.0,--,--,--,.700,--
2018,4-Seamer,,-4.4,-2,56,32.0,17,.188,.188,.200,16.0,23.5,22.2,.097,.124,.133,16.7
2018,Slider,,-4.1,-2,37,21.1,7,.143,.143,.129,43.5,14.3,14.3,.216,.239,.205,16.7
2018,Sinker,,-1.0,0,37,21.1,8,.375,.375,.338,26.3,25.0,15.4,.291,.563,.361,33.3
2018,Changeup,,5.0,1,18,10.3,4,.250,1.000,.500,22.2,25.0,14.3,.319,.744,.439,66.7
2018,Curveball,,-1.6,0,17,9.7,6,.200,.400,.325,28.6,16.7,16.7,.190,.206,.263,50.0
2018,Knuckleball,,-6.8,0,5,2.9,1,.000,.000,.000,50.0,100.0,33.3,--,--,.000,--
2018,Cutter,,9.4,0,3,1.7,3,.500,.500,.533,0.0,0.0,0.0,.342,.362,.439,50.0
2018,Splitter,,0.7,0,2,1.1,,--,--,--,0.0,--,0.0,--,--,--,--
2017,4-Seamer,,-1.1,-2,192,32.4,50,.261,.326,.285,19.8,18.0,17.6,.265,.338,.286,31.6
2017,Slider,,-1.9,-3,144,24.3,35,.152,.182,.179,15.9,11.4,7.8,.238,.355,.279,10.3
2017,Sinker,,-0.9,-1,105,17.7,32,.276,.310,.330,3.7,3.1,4.3,.289,.469,.360,42.9
2017,Changeup,,-0.9,-1,62,10.5,23,.217,.435,.274,13.2,13.0,15.8,.174,.262,.184,20.0
2017,Curveball,,-1.3,-1,42,7.1,11,.182,.182,.164,30.0,18.2,15.4,.350,.501,.358,44.4
2017,Cutter,,-1.9,-1,39,6.6,9,.222,.222,.300,22.2,22.2,28.6,.254,.307,.245,28.6
2017,Splitter,,-11.5,-1,7,1.2,4,.000,.000,.000,50.0,25.0,50.0,.067,.106,.074,0.0
