Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2017,Hillsboro Hops,NWL,A(Short),C,36,36,320.2,367,322,41,4,2,,.989
2017,Hillsboro Hops,NWL,A(Short),DH,14,14,0.0,0,0,0,0,0,,.000
2018,2 Teams,,Minors,C,57,57,502.1,637,574,58,5,3,,.992
2018,2 Teams,,Minors,DH,26,26,0.0,0,0,0,0,0,,.000
2018,2 Teams,,Minors,C,57,57,502.1,637,574,58,5,3,,.992
2018,2 Teams,,Minors,DH,26,26,0.0,0,0,0,0,0,,.000
2018,2 Teams,,Minors,C,57,57,502.1,637,574,58,5,3,,.992
2018,2 Teams,,Minors,DH,26,26,0.0,0,0,0,0,0,,.000
2018,ACL D-backs,AZL,ROK,C,2,2,14.0,19,16,3,0,0,,1.000
2018,ACL D-backs,AZL,ROK,DH,1,1,0.0,0,0,0,0,0,,.000
2018,Visalia Rawhide,CAL,A(Adv),C,55,55,488.1,618,558,55,5,3,,.992
2018,Visalia Rawhide,CAL,A(Adv),DH,25,25,0.0,0,0,0,0,0,,.000
2019,Jackson Generals,SOU,AA,C,76,76,649.0,668,611,51,6,9,,.991
2019,Jackson Generals,SOU,AA,CF,4,4,36.0,7,7,0,0,0,,1.000
2019,Jackson Generals,SOU,AA,DH,21,21,0.0,0,0,0,0,0,,.000
2021,Reno Aces,PCL,AAA,C,11,11,99.0,101,93,7,1,0,,.990
2021,Reno Aces,PCL,AAA,CF,7,6,54.0,19,17,0,2,0,,.895
,ACL D-backs Black,AZL,ROK,C,2,2,14.0,19,16,3,0,0,,1.000
,ACL D-backs Black,AZL,ROK,DH,1,1,0.0,0,0,0,0,0,,.000
,Reno Aces,PCL,AAA,C,11,11,99.0,101,93,7,1,0,,.990
,Reno Aces,PCL,AAA,CF,7,6,54.0,19,17,0,2,0,,.895
,Jackson Generals,SOU,AA,C,76,76,649.0,668,611,51,6,9,,.991
,Jackson Generals,SOU,AA,CF,4,4,36.0,7,7,0,0,0,,1.000
,Jackson Generals,SOU,AA,DH,21,21,0.0,0,0,0,0,0,,.000
,Visalia Rawhide,CAL,A+,C,55,55,488.1,618,558,55,5,3,,.992
,Visalia Rawhide,CAL,A+,DH,25,25,0.0,0,0,0,0,0,,.000
,Hillsboro Hops,NWL,A(Short),C,36,36,320.2,367,322,41,4,2,,.989
,Hillsboro Hops,NWL,A(Short),DH,14,14,0.0,0,0,0,0,0,,.000
,5 Teams,,Minors,C,180,180,1571.0,1773,1600,157,16,14,,.991
,2 Teams,,Minors,CF,11,10,90.0,26,24,0,2,0,,.923
,4 Teams,,Minors,DH,61,61,0.0,0,0,0,0,0,,.000
,5 Teams,,Minors,C,180,180,1571.0,1773,1600,157,16,14,,.991
,2 Teams,,Minors,CF,11,10,90.0,26,24,0,2,0,,.923
,4 Teams,,Minors,DH,61,61,0.0,0,0,0,0,0,,.000
,5 Teams,,Minors,C,180,180,1571.0,1773,1600,157,16,14,,.991
,2 Teams,,Minors,CF,11,10,90.0,26,24,0,2,0,,.923
Career Minors,4 Teams,,,DH,61,61,0.0,0,0,0,0,0,,.000
