Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2019,3 Teams,,Minors,1B,37,37,324.2,333,318,13,2,13,,.994
2019,3 Teams,,Minors,DH,18,18,0.0,0,0,0,0,0,,.000
2019,AZL White Sox,AZL,ROK,1B,2,2,17.0,19,18,1,0,0,,1.000
2019,AZL White Sox,AZL,ROK,DH,1,1,0.0,0,0,0,0,0,,.000
2019,Kannapolis Intimidators,SAL,A(Full),1B,19,19,167.2,158,147,9,2,6,,.987
2019,Kannapolis Intimidators,SAL,A(Full),DH,4,4,0.0,0,0,0,0,0,,.000
2019,Winston-Salem Dash,CAR,A(Adv),1B,16,16,140.0,156,153,3,0,7,,1.000
2019,Winston-Salem Dash,CAR,A(Adv),DH,13,13,0.0,0,0,0,0,0,,.000
2022,Charlotte Knights,INT,AAA,RF,1,1,9.0,3,2,0,1,0,,.667
2022,Charlotte Knights,INT,AAA,DH,1,1,0.0,0,0,0,0,0,,.000
,ACL White Sox,AZL,ROK,1B,2,2,17.0,19,18,1,0,0,,1.000
,ACL White Sox,AZL,ROK,DH,1,1,0.0,0,0,0,0,0,,.000
,Charlotte Knights,INT,AAA,RF,1,1,9.0,3,2,0,1,0,,.667
,Charlotte Knights,INT,AAA,DH,1,1,0.0,0,0,0,0,0,,.000
,Winston-Salem Dash,SAL,A+,1B,16,16,140.0,156,153,3,0,7,,1.000
,Winston-Salem Dash,SAL,A+,DH,13,13,0.0,0,0,0,0,0,,.000
,Kannapolis Cannon Ballers,CAR,A,1B,19,19,167.2,158,147,9,2,6,,.987
,Kannapolis Cannon Ballers,CAR,A,DH,4,4,0.0,0,0,0,0,0,,.000
,3 Teams,,Minors,1B,37,37,324.2,333,318,13,2,13,,.994
,1 Teams,,Minors,RF,1,1,9.0,3,2,0,1,0,,.667
Career Minors,4 Teams,,,DH,19,19,0.0,0,0,0,0,0,,.000
