Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Boston Red Sox,MLB,First Inning,81,79,7,23,7,0,1,9,2,8,0,0,0,.291,.309,.418,.727
Boston Red Sox,MLB,Second Inning,76,71,13,22,5,0,3,8,5,12,0,3,0,.310,.355,.507,.862
Boston Red Sox,MLB,Third Inning,56,52,5,11,2,0,0,3,3,7,0,0,0,.212,.250,.250,.500
Boston Red Sox,MLB,Fourth Inning,87,82,11,24,6,0,0,7,3,11,0,0,0,.293,.310,.366,.676
Boston Red Sox,MLB,Fifth Inning,57,52,8,21,7,0,0,9,4,3,1,0,1,.404,.456,.538,.994
Boston Red Sox,MLB,Sixth Inning,85,74,17,26,6,0,7,18,9,12,0,0,1,.351,.424,.716,1.140
Boston Red Sox,MLB,Seventh Inning,63,59,3,13,3,1,0,4,3,10,0,0,1,.220,.270,.305,.575
Boston Red Sox,MLB,Eighth Inning,71,63,7,15,0,0,0,7,6,12,0,0,0,.238,.296,.238,.534
Boston Red Sox,MLB,Ninth Inning,56,49,4,7,2,0,0,4,7,9,0,0,0,.143,.250,.184,.434
Boston Red Sox,MLB,Extra Innings,12,12,0,4,1,0,0,5,0,2,0,0,0,.333,.333,.417,.750
