Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2017,LAD,NL,LF,3,0,7.0,1,1,0,0,0,,1.000
2017,LAD,NL,CF,6,4,33.0,2,2,0,0,0,,1.000
2017,LAD,NL,RF,3,0,4.0,1,1,0,0,0,,1.000
2018,LAD,NL,LF,12,7,66.1,17,17,0,0,0,,1.000
2018,LAD,NL,CF,8,5,39.2,4,4,0,0,0,,1.000
2018,LAD,NL,RF,16,4,61.0,15,13,1,1,0,,.933
2019,LAD,NL,LF,22,14,128.1,23,19,3,1,0,,.957
2019,LAD,NL,CF,61,52,475.2,111,109,2,0,0,,1.000
2019,LAD,NL,RF,25,16,152.0,44,42,1,1,0,,.977
2020,BOS,AL,LF,22,18,167.1,45,37,6,2,1,,.956
2020,BOS,AL,CF,1,1,8.0,1,1,0,0,0,,1.000
2020,BOS,AL,RF,31,30,246.2,51,48,1,2,0,,.961
2020,BOS,AL,DH,1,1,0.0,0,0,0,0,0,,.000
2021,BOS,AL,LF,90,79,678.0,119,114,4,1,0,,.992
2021,BOS,AL,CF,42,38,337.0,81,75,4,2,1,,.975
2021,BOS,AL,RF,24,19,173.0,30,28,1,1,0,,.967
2021,BOS,AL,DH,1,1,0.0,0,0,0,0,0,,.000
2022,BOS,AL,LF,102,98,873.2,161,154,4,3,0,,.981
2022,BOS,AL,RF,52,51,432.1,100,94,4,2,1,,.980
2022,BOS,AL,DH,2,1,0.0,0,0,0,0,0,,.000
6 Seasons,2 Teams,,LF,251,216,1920.2,366,342,17,7,1,,.981
,2 Teams,,CF,118,100,893.1,199,191,6,2,1,,.990
,2 Teams,,RF,151,120,1069.0,241,226,8,7,1,,.971
,BOS,AL,DH,4,3,0.0,0,0,0,0,0,,.000
