Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2017,,ALL,0,,0,0,0,0,0,0,6,67%,68%,-2%
2017,,RF,0,,0,0,0,0,0,0,1,100%,99%,1%
2017,,CF,0,,0,0,0,0,0,0,4,50%,54%,-4%
2017,,LF,0,,0,0,0,0,0,0,1,100%,93%,7%
2018,,ALL,0,,0,0,0,-1,-1,0,32,84%,86%,-1%
2018,,RF,-1,,0,0,0,-1,-1,0,16,75%,82%,-7%
2018,,CF,0,,0,0,0,0,0,0,4,100%,98%,2%
2018,,LF,1,,0,0,0,0,0,0,12,92%,87%,5%
2019,,ALL,3,,2,0,1,0,0,3,187,89%,88%,2%
2019,,RF,0,,0,0,0,0,0,0,46,89%,88%,1%
2019,,CF,1,,2,-1,0,0,0,1,119,90%,89%,1%
2019,,LF,2,,0,0,1,0,0,1,22,86%,80%,7%
2020,,ALL,2,,1,0,0,0,2,0,92,93%,92%,2%
2020,,RF,0,,0,0,0,0,0,0,54,89%,90%,-1%
2020,,CF,0,,0,0,0,0,0,0,1,100%,99%,1%
2020,,LF,2,,1,0,1,0,2,1,37,100%,94%,6%
2021,,ALL,-5,,0,-3,-1,-2,-4,-1,283,86%,88%,-2%
2021,,RF,-1,,0,-2,1,0,-1,0,33,88%,91%,-3%
2021,,CF,-5,,-1,-1,-2,-1,-4,-1,90,84%,90%,-6%
2021,,LF,1,,0,1,1,-1,1,0,160,87%,86%,1%
2022,,ALL,-4,,2,-4,-4,2,-1,-3,299,83%,84%,-1%
2022,,RF,-1,,0,-2,0,1,-1,0,115,82%,82%,-1%
2022,,LF,-4,,1,-2,-4,1,0,-4,184,84%,86%,-2%
Career,,ALL,-5,,4,-6,-3,-1,-4,-1,899,86%,87%,-1%
