Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Los Angeles Angels,MLB,First Inning,108,96,10,21,2,0,3,9,11,23,0,1,1,.219,.306,.333,.639
Los Angeles Angels,MLB,Second Inning,30,28,4,9,0,0,3,9,2,5,0,0,0,.321,.367,.643,1.010
Los Angeles Angels,MLB,Third Inning,80,69,13,22,4,1,5,9,10,17,0,0,0,.319,.400,.623,1.023
Los Angeles Angels,MLB,Fourth Inning,51,45,9,15,4,0,2,3,5,5,0,1,1,.333,.412,.556,.968
Los Angeles Angels,MLB,Fifth Inning,60,51,7,14,4,0,2,7,9,11,1,0,0,.275,.383,.471,.854
Los Angeles Angels,MLB,Sixth Inning,60,51,8,14,2,1,1,5,7,15,0,0,1,.275,.367,.412,.779
Los Angeles Angels,MLB,Seventh Inning,67,57,7,16,2,0,1,8,8,15,2,0,1,.281,.373,.368,.741
Los Angeles Angels,MLB,Eighth Inning,53,50,7,15,2,0,2,4,3,16,2,1,0,.300,.340,.460,.800
Los Angeles Angels,MLB,Ninth Inning,44,38,4,8,1,0,2,5,5,12,0,0,0,.211,.295,.395,.690
Los Angeles Angels,MLB,Extra Innings,11,10,4,5,1,0,2,6,0,1,0,0,0,.500,.455,1.200,1.655
