Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2017,CIN,NL,LF,2,2,17.0,1,1,0,0,0,,1.000
2017,CIN,NL,RF,25,24,202.1,43,40,2,1,0,,.977
2017,CIN,NL,DH,2,2,0.0,0,0,0,0,0,,.000
2018,CIN,NL,LF,34,29,244.2,49,49,0,0,0,,1.000
2018,CIN,NL,RF,47,42,341.2,73,68,4,1,0,,.986
2018,CIN,NL,DH,3,3,0.0,0,0,0,0,0,,.000
2019,CIN,NL,LF,72,59,487.0,102,95,4,3,1,,.971
2019,CIN,NL,CF,21,16,132.0,30,29,1,0,0,,1.000
2019,CIN,NL,RF,18,11,101.0,22,21,1,0,1,,1.000
2019,CIN,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2020,CIN,NL,LF,15,12,88.2,20,20,0,0,0,,1.000
2020,CIN,NL,RF,1,1,6.0,0,0,0,0,0,,.000
2020,CIN,NL,DH,37,35,0.0,0,0,0,0,0,,.000
2021,CIN,NL,LF,101,98,831.2,156,150,4,2,0,,.987
2021,CIN,NL,CF,1,1,6.0,0,0,0,0,0,,.000
2021,CIN,NL,RF,5,1,15.2,2,2,0,0,0,,1.000
2021,CIN,NL,DH,5,5,0.0,0,0,0,0,0,,.000
2022,SEA,AL,LF,118,113,972.0,185,176,5,4,0,,.978
2022,SEA,AL,DH,17,15,0.0,0,0,0,0,0,,.000
6 Seasons,2 Teams,,LF,342,313,2641.0,513,491,13,9,1,,.982
,CIN,NL,CF,22,17,138.0,30,29,1,0,0,,1.000
,CIN,NL,RF,96,79,666.2,140,131,7,2,1,,.986
,2 Teams,,DH,65,61,0.0,0,0,0,0,0,,.000
