Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Omaha Storm Chasers,Triple-A,First Inning,61,57,12,19,4,0,5,7,3,12,4,1,1,.333,.377,.667,1.044
Northwest Arkansas Naturals,Double-A,First Inning,62,54,11,17,4,1,4,6,7,20,2,6,1,.315,.403,.648,1.051
Omaha Storm Chasers,Triple-A,Second Inning,11,11,2,4,2,0,1,8,0,3,1,0,0,.364,.364,.818,1.182
Northwest Arkansas Naturals,Double-A,Second Inning,9,9,2,5,0,0,2,7,0,1,1,0,0,.556,.556,1.222,1.778
Omaha Storm Chasers,Triple-A,Third Inning,46,44,10,13,6,0,4,7,2,11,1,0,0,.295,.326,.705,1.031
Northwest Arkansas Naturals,Double-A,Third Inning,43,39,8,9,0,0,3,7,4,8,2,1,0,.231,.302,.462,.764
Omaha Storm Chasers,Triple-A,Fourth Inning,20,17,5,5,2,0,1,4,2,5,1,0,0,.294,.350,.588,.938
Northwest Arkansas Naturals,Double-A,Fourth Inning,22,21,3,5,0,1,2,5,1,4,3,1,0,.238,.273,.619,.892
Omaha Storm Chasers,Triple-A,Fifth Inning,41,30,11,12,2,0,1,5,10,7,5,0,1,.400,.561,.567,1.128
Northwest Arkansas Naturals,Double-A,Fifth Inning,36,33,3,11,2,1,2,7,1,7,1,0,1,.333,.361,.636,.997
Omaha Storm Chasers,Triple-A,Sixth Inning,20,19,2,7,5,0,0,3,0,3,0,1,0,.368,.368,.632,1.000
Northwest Arkansas Naturals,Double-A,Sixth Inning,27,19,6,5,2,0,0,6,6,7,1,0,0,.263,.407,.368,.775
Omaha Storm Chasers,Triple-A,Seventh Inning,34,31,3,5,1,0,2,5,2,11,1,1,0,.161,.206,.387,.593
Northwest Arkansas Naturals,Double-A,Seventh Inning,33,28,3,6,0,0,0,5,2,11,3,0,2,.214,.303,.214,.517
Omaha Storm Chasers,Triple-A,Eighth Inning,26,23,4,4,2,0,1,2,3,7,1,0,0,.174,.269,.391,.660
Northwest Arkansas Naturals,Double-A,Eighth Inning,25,22,4,9,0,0,2,6,2,6,0,0,1,.409,.480,.682,1.162
Omaha Storm Chasers,Triple-A,Ninth Inning,19,17,4,2,0,0,1,1,2,5,1,0,0,.118,.211,.294,.505
Northwest Arkansas Naturals,Double-A,Ninth Inning,22,19,4,5,3,1,1,2,2,3,1,0,1,.263,.364,.684,1.048
Omaha Storm Chasers,Triple-A,Extra Innings,7,4,2,1,0,0,1,4,2,0,0,0,0,.250,.429,1.000,1.429
