Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Milwaukee Brewers,MLB,First Inning,147,122,26,26,5,1,3,3,24,32,7,2,1,.213,.347,.344,.691
Milwaukee Brewers,MLB,Second Inning,33,29,5,10,2,0,1,7,4,7,0,0,0,.345,.424,.517,.941
Milwaukee Brewers,MLB,Third Inning,95,84,8,20,2,1,1,4,10,24,1,0,1,.238,.326,.321,.647
Milwaukee Brewers,MLB,Fourth Inning,54,50,11,13,1,0,4,10,4,13,3,0,0,.260,.315,.520,.835
Milwaukee Brewers,MLB,Fifth Inning,74,65,10,18,5,0,3,8,8,18,3,1,1,.277,.365,.492,.857
Milwaukee Brewers,MLB,Sixth Inning,73,61,7,15,3,0,0,5,11,15,3,0,1,.246,.370,.295,.665
Milwaukee Brewers,MLB,Seventh Inning,65,53,7,10,1,1,1,9,10,25,0,0,0,.189,.313,.302,.615
Milwaukee Brewers,MLB,Eighth Inning,72,62,10,14,1,0,1,7,10,18,1,0,0,.226,.333,.290,.623
Milwaukee Brewers,MLB,Ninth Inning,48,43,12,18,5,1,0,4,3,9,0,0,1,.419,.458,.581,1.039
Milwaukee Brewers,MLB,Extra Innings,10,6,3,1,0,0,0,0,4,1,1,0,0,.167,.500,.167,.667
