 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2013,,379,16.2,35.6%,1.8%,213,22.3,0.9%,7.5%
2014,,1089,16.2,35.9%,1.4%,401,22.1,0.5%,12.0%
2015,,692,16.9,33.7%,5.8%,355,25.2,6.2%,24.5%
2016,,809,17.7,27.1%,3.6%,609,24.4,3.4%,22.7%
2017,,893,17.7,20.7%,2.4%,563,23.2,0.7%,13.1%
2018,,757,17.0,24.3%,2.4%,459,23.6,0.7%,14.8%
2019,,708,18.8,13.6%,2.7%,381,24.9,0.0%,18.6%
2020,,401,18.5,14.5%,3.0%,221,24.3,0.9%,10.0%
2021,,680,18.9,12.2%,4.3%,342,24.7,0.3%,16.1%
2022,,902,17.9,20.0%,2.7%,460,23.7,0.4%,11.3%
