BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,5,0,0,0,0,2,4,.077,.297
SeagerSS,5,0,2,1,0,0,1,.462,1.038
GarverDH,4,0,0,0,1,2,2,.222,.920
"García, AdRF-CF",4,2,0,0,1,2,2,.091,.595
Ibáñez1B-3B,5,1,1,1,0,2,2,.154,.385
SolakLF,3,4,2,1,2,0,0,.667,2.467
CalhounRF,0,0,0,0,0,0,0,.200,.629
Culberson3B,2,1,1,1,0,0,0,.500,1.000
"b-Lowe, NPH-1B",2,0,1,1,1,0,1,.455,.955
HeimC,3,2,2,3,2,0,1,.429,1.413
"White, ECF",1,0,0,0,0,1,1,.000,.000
"a-Miller, BPH-RF-LF",3,2,2,4,0,1,1,.364,1.385
,37,12,11,12,7,10,15,,
