BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McNeilLF,5,1,1,2,0,1,2,.324,.851
"Marte, SRF",4,1,1,0,1,0,2,.262,.755
LindorSS,5,0,2,2,0,1,1,.289,1.043
Alonso1B,4,0,0,0,0,2,1,.209,.753
Escobar3B,3,0,1,0,1,1,0,.265,.903
"Canó, R2B",3,0,0,0,1,1,1,.192,.558
"Davis, JDH",3,0,1,0,0,0,0,.250,.681
a-GuillormePH-DH,0,0,0,0,0,0,0,.000,.143
JankowskiCF,4,1,1,0,0,1,3,.375,.787
NidoC,0,0,0,0,0,0,0,.231,.462
McCannC,3,1,1,0,0,1,1,.136,.413
"b-Smith, DoPH",1,0,0,0,0,1,2,.111,.403
NimmoCF,0,1,0,0,0,0,0,.333,1.137
,35,5,8,4,3,9,13,,
