BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Hicks, ACF",4,0,0,0,0,0,2,.270,.729
JudgeRF,3,0,1,0,1,0,0,.255,.744
Rizzo1B,4,0,1,0,0,0,4,.233,.958
StantonDH,4,0,0,0,0,1,5,.216,.579
LeMahieu2B-3B,4,0,1,0,0,1,0,.300,.816
GalloLF,4,0,1,0,0,1,1,.135,.391
Kiner-FalefaSS,4,0,1,0,0,0,1,.282,.692
Gonzalez3B,2,0,0,0,0,1,2,.000,.200
a-DonaldsonPH,1,0,1,0,0,0,0,.191,.588
1-LocastroPR,0,0,0,0,0,0,0,.000,.000
HigashiokaC,0,0,0,0,0,0,0,.097,.254
TrevinoC,2,0,0,0,0,0,2,.417,.917
b-TorresPH-2B,1,0,1,0,0,0,0,.167,.531
,33,0,7,0,1,4,17,,
